claim_id,file,line,claim,authoritative_sources,evidence_status,overclaim_status,repair_required,notes
A-01,thesis-writing/thesis/appendices/appendices.tex,4,Archive contains checked result tables.,checked_*.csv; results_manifest.csv,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-02,thesis-writing/thesis/appendices/appendices.tex,4,Archive contains a result manifest.,results_manifest.csv; results_manifest.md,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-03,thesis-writing/thesis/appendices/appendices.tex,4,Archive contains checksums.,results_checksums.sha256,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-04,thesis-writing/thesis/appendices/appendices.tex,4,Archive contains a source packet and decision register.,results_source_packet.md; results_decision_register.md,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-05,thesis-writing/thesis/appendices/appendices.tex,4,Records support numerical traceability and evidence-status distinctions.,checked tables; manifest; checksums; decision register; figure register,SUPPORTED_WITH_PROVENANCE_BOUNDARY,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-06,thesis-writing/thesis/appendices/appendices.tex,6,Records do not establish a complete clean-checkout reproduction.,results_source_packet.md; Stage 5.1 report; deferred_fixes.md,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-07,thesis-writing/thesis/appendices/appendices.tex,6,Raw and processed data lineage is incomplete.,results_source_packet.md; results_decision_register.md,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-08,thesis-writing/thesis/appendices/appendices.tex,6,Numbered producing configurations are incomplete.,results_manifest.csv; results_source_packet.md,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-09,thesis-writing/thesis/appendices/appendices.tex,6,Predictive split and checkpoint-to-export lineage is incomplete.,results_source_packet.md; checked_predictive_exports.csv,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-10,thesis-writing/thesis/appendices/appendices.tex,6,Producing source versions and archive-copy history are incomplete.,results_manifest.csv; results_source_packet.md,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-11,thesis-writing/thesis/appendices/appendices.tex,6,Requirements or current wrappers are not proof of historical environment or command.,results_source_packet.md; Stage 5.1 report,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-12,thesis-writing/thesis/appendices/appendices.tex,8,External ICU data remain subject to access and governance conditions.,dataset citations; unresolved_placeholders.md,SUPPORTED_BOUNDARY,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-13,thesis-writing/thesis/appendices/appendices.tex,8,"Repository does not establish institutional approval, ethics, consent, or final governance wording.",unresolved_placeholders.md; deferred_fixes.md; Stage 5.1 report,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-14,thesis-writing/thesis/appendices/appendices.tex,8,Governance gaps do not negate checked arithmetic but limit reproducibility/compliance/clinical interpretation.,results_source_packet.md; results_decision_register.md,SUPPORTED_WITH_QUALIFICATION,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-15,thesis-writing/thesis/appendices/appendices.tex,10,Materials define an inspectable evidence/provenance boundary.,manifest; source packet; checksums; decision register,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
A-16,thesis-writing/thesis/appendices/appendices.tex,10,"Complete per-run lineage, clinical review, and authoritative institutional documentation remain future work.",deferred_fixes.md; unresolved_placeholders.md; Stage 5.1 report,SUPPORTED,NONE,NO,"No credentials, raw protected contents, obsolete chronology, or duplicated methods."
