artifact_id,result_family,planned_chapter_section,planned_table_or_figure_id,pipeline,dataset,model_or_estimator,sampling_condition,run_name,treatment_or_proxy,artifact_role,relative_path,recorded_absolute_path,file_type,file_size_bytes,sha256,row_count,column_count,column_names_or_schema_signature,image_width,image_height,producing_stage,producing_script,run_summary_path,log_path,configuration_path,configuration_available,configuration_hash,source_commit,source_commit_status,command_available,input_provenance_status,execution_status,artifact_status,duplicate_group,canonical_source,admission_status,provenance_class,caveat_codes,human_decision_required,notes
ART-00001,supporting_archive,Chapter 10,,proxy,,,,,,archived_source,final-results/AGENTS.md,,md,42071,b2ba09c5c04b3813290566de5a9d621d559358b084c9f65125d8e34cbe0e10a9,,,text; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,NOT_APPLICABLE,ARTIFACT_SUPPORTED,ARCHIVE_DOCUMENTATION,False,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00002,supporting_archive,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/AGENTS.md,,md,22199,f301b01c1b068bf3fea6ec23d98eb6f448e04ccba1e2bda1f5cc1265dca88f6a,,,text; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,NOT_APPLICABLE,ARTIFACT_SUPPORTED,ARCHIVE_DOCUMENTATION,False,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00003,supporting_archive,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/SCRIPTS.md,,md,678,735e794f9c00d851704c15cfe798501e6cf1465e79be9eec16a4dd392210ed6d,,,text; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,NOT_APPLICABLE,ARTIFACT_SUPPORTED,ARCHIVE_DOCUMENTATION,False,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00004,cate,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_cate_vs_matching.csv,,csv,8423,6dff6904f61bd325e1b1728afca15db342c1ae57b7611d9d61624a549477e062,38,17,headers=dataset|sampling|treatment_concept|cate_models|cate_row_count|cate_mean_min|cate_mean_median|cate_mean_max|cate_direction|matching_treatment|matching_mean_pair_effect|matching_direction|matching_n_pairs|matching_match_rate|matching_hit_max_dist_without_sufficient_pairs|cate_matching_delta|same_direction; duplicate_headers=False; duplicate_rows=False; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00005,cate,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_comparison_report.docx,,docx,11764,ac7aaba9bb264edf2fa47e4e53496389d98eae7d7b766a7edb7982f1f6660b39,,,,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00006,cate,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_comparison_report.md,,md,29505,b119952b95688e2eae66126435683168be8e68fdd6f0d473ceb4023d8a122fd8,,,text; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00007,cate,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_inventory.csv,,csv,4670,18e2b46408458e7643849c8ce6f87aabac962ec85e3570ff7c9b9332237adad6,12,24,headers=run_folder|dataset|model|sampling|loaded_treatment_rows|selected_cate_summary_path|selected_analysis_summary_path|cate_summary_candidate_count|cate_summary_candidates|file_count|csv_count|json_count|txt_count|pkl_count|png_count|cate_patient_csv_count|cate_model_pkl_count|cate_feature_importance_count|cate_treatment_summary_txt_count|analysis_benchmark_summary_exists|analysis_benchmark_scores_count|analysis_contour_png_count|permutation_result_count|run_summary_exists; duplicate_headers=False; duplicate_rows=False; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00008,matching,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_matching_failures.csv,,csv,4669,097b7d3002210059f335e7acf6a5439beaf62a2893154ec3ee35872eb4844fbf,8,8,headers=dataset|sampling|treatment|treatment_concept|reason|source_models|source_run_folders|source_summary_paths; duplicate_headers=False; duplicate_rows=False; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00009,matching,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_matching_table.csv,,csv,19308,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,30,24,headers=dataset|sampling|treatment|treatment_concept|n_total|outcome_rate|treatment_rate|n_pairs|match_rate|mean_pair_effect|std_pair_effect|min_pair_effect|max_pair_effect|mean_normalized_pair_effect|matching_direction|final_allowed_distance|reached_sufficient_pairs|hit_max_dist_without_sufficient_pairs|observed_confounders|binary_matching_columns|source_models|source_run_folders|source_matching_summary_paths|duplicate_consistent; duplicate_headers=False; duplicate_rows=False; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
ART-00010,cate,Chapter 10,,causal,,,,,,archived_source,final-results/causal-outputs/cate_cross_run_summary.csv,,csv,4226,12d5c7c63d98193df438ab8470b2c817a55ffdc6d9a89b34029e440fb993b6f5,11,21,headers=treatment_concept|treatment_names|row_count|datasets_present|models_present|samplings_present|positive_count|near_zero_count|negative_count|missing_direction_count|mean_cate_min|mean_cate_median|mean_cate_max|mean_cate_range|mean_normalized_cate_min|mean_normalized_cate_median|mean_normalized_cate_max|max_model_spread|max_sampling_delta|max_dataset_delta|interpretation; duplicate_headers=False; duplicate_rows=False; parse=OK,,,,,,,,,,,MISSING,,PROVENANCE_PARTIAL,,present,,,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,ARCHIVE_COPY_PROVENANCE_PARTIAL,True,Generated from immutable ignored archive; external producing paths are not locally available.
