claim_id,file,chapter_or_section,line_or_excerpt,claim_type,claim_summary,numeric_expression,citation_keys,authoritative_source,exact_source_location,support_status,qualification_status,terminology_status,hierarchy_status,cross_language_status,required_action,notes
C0001,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 3: ThesisTitleEnglish = A DAG-Guided Framework for Proxy-State Effect Estimation in Irregular ICU Time Series,NEGATIVE_BOUNDARY,ThesisTitleEnglish = A DAG-Guided Framework for Proxy-State Effect Estimation in Irregular ICU Time Series,,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0002,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 4: ThesisTitleHebrew = [OFFICIAL HEBREW TITLE REQUIRED],NEGATIVE_BOUNDARY,ThesisTitleHebrew = [OFFICIAL HEBREW TITLE REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0003,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 5: ThesisAuthorEnglish = [OFFICIAL AUTHOR NAME REQUIRED],NEGATIVE_BOUNDARY,ThesisAuthorEnglish = [OFFICIAL AUTHOR NAME REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0004,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 6: ThesisAuthorHebrew = [OFFICIAL AUTHOR NAME REQUIRED],NEGATIVE_BOUNDARY,ThesisAuthorHebrew = [OFFICIAL AUTHOR NAME REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0005,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 7: ThesisDepartmentEnglish = [OFFICIAL DEPARTMENT WORDING REQUIRED],NEGATIVE_BOUNDARY,ThesisDepartmentEnglish = [OFFICIAL DEPARTMENT WORDING REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0006,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 8: ThesisDepartmentHebrew = [OFFICIAL DEPARTMENT WORDING REQUIRED],NEGATIVE_BOUNDARY,ThesisDepartmentHebrew = [OFFICIAL DEPARTMENT WORDING REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0007,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 9: ThesisDegreeEnglish = [OFFICIAL DEGREE WORDING REQUIRED],NEGATIVE_BOUNDARY,ThesisDegreeEnglish = [OFFICIAL DEGREE WORDING REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0008,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 10: ThesisSupervisorEnglish = [OFFICIAL SUPERVISOR NAME AND TITLE REQUIRED],NEGATIVE_BOUNDARY,ThesisSupervisorEnglish = [OFFICIAL SUPERVISOR NAME AND TITLE REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0009,thesis-writing/thesis/frontmatter/administrative_metadata.tex,Front matter,line 11: ThesisSubmissionDateEnglish = [OFFICIAL SUBMISSION MONTH AND YEAR REQUIRED],NEGATIVE_BOUNDARY,ThesisSubmissionDateEnglish = [OFFICIAL SUBMISSION MONTH AND YEAR REQUIRED],,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
C0010,thesis-writing/thesis/frontmatter/title_pages.tex,Front matter,line 2: Ben-Gurion University of the Negev,NEGATIVE_BOUNDARY,Ben-Gurion University of the Negev,1.5;1.5;1.5;0.5;0.5,,authoritative administrative records,frontmatter gates,ADMINISTRATIVE_GATE,EXPLICITLY_BOUNDED,CONSISTENT,NOT_APPLICABLE,NOT_APPLICABLE,BLOCKED_EXTERNAL_INPUT,No administrative fact invented.
