dataset,source,target,active_source_present,archived_pickle_present,match,edge_role,notes
MIMIC-III,BG_ADMISSION_CONTEXT,LAT_GLOBAL_SEVERITY,True,True,True,BG->LAT,Assumed directed edge
MIMIC-III,BG_ADMISSION_CONTEXT,LAT_INFLAMMATION_SEPSIS,True,True,True,BG->LAT,Assumed directed edge
MIMIC-III,BG_ADMISSION_CONTEXT,MISS_MEASUREMENT_INTENSITY,True,True,True,BG->MISS,Assumed directed edge
MIMIC-III,BG_AGE,LAT_CHRONIC_BURDEN,True,True,True,BG->LAT,Assumed directed edge
MIMIC-III,BG_AGE,OUT_MORTALITY,True,True,True,BG->OUT,Assumed directed edge
MIMIC-III,BG_ETHNICITY_INSURANCE_LANGUAGE,MISS_MEASUREMENT_INTENSITY,True,True,True,BG->MISS,Assumed directed edge
MIMIC-III,BG_ETHNICITY_INSURANCE_LANGUAGE,OUT_MORTALITY,True,True,True,BG->OUT,Assumed directed edge
MIMIC-III,BG_ICU_UNIT,LAT_GLOBAL_SEVERITY,True,True,True,BG->LAT,Assumed directed edge
MIMIC-III,BG_ICU_UNIT,MISS_MEASUREMENT_INTENSITY,True,True,True,BG->MISS,Assumed directed edge
MIMIC-III,BG_SEX,LAT_CHRONIC_BURDEN,True,True,True,BG->LAT,Assumed directed edge
MIMIC-III,LAT_CARDIAC_STRAIN,LAT_SHOCK,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_CARDIAC_STRAIN,OBS_TROPONIN_ECG,True,True,True,LAT->OBS,Assumed directed edge
MIMIC-III,LAT_CARDIAC_STRAIN,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
MIMIC-III,LAT_CHRONIC_BURDEN,LAT_CARDIAC_STRAIN,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_CHRONIC_BURDEN,LAT_GLOBAL_SEVERITY,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_CHRONIC_BURDEN,LAT_RENAL_DYSFUNCTION,True,True,True,LAT->LAT,Assumed directed edge
MIMIC-III,LAT_CHRONIC_BURDEN,OUT_MORTALITY,True,True,True,LAT->OUT,Assumed directed edge
