dataset,estimator,sampling_condition,treatment,diagnostic_type,source_path,source_sha256,row_count,feature_count,interval_available,figure_candidate,admission_status,selection_status,caveat_codes,notes
mimic,CausalForestDML,original,LAT_CARDIAC_STRAIN,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_cate.csv,0ca7e2c8d86a6fe46b69fda33abd1d23cefaedd9930e3fc62ccd24358cb357c4,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_GLOBAL_SEVERITY,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_cate.csv,b7867f23b057a70c9a4122b1e13de2a2cdfcfbde41da67377919bcd0d390574b,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_HEPATIC_COAG_DYSFUNCTION,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_cate.csv,dadbdf2904bc3cd9f3904c9ff4693dfa6760081b8ca8d2f1b3a9a45363deefc3,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_INFLAMMATION_SEPSIS,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_INFLAMMATION_SEPSIS/LAT_INFLAMMATION_SEPSIS_cate.csv,2d936267d0200a006539c85e3feffdebb7327dfa82f9f5c722433f019f0c7652,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_METABOLIC_DERANGEMENT,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_cate.csv,cee40a1cdb7d10fc1fa2b550e367f3e44474f74cf82541699dd02ca4ad6fbf82,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_NEUROLOGIC_DYSFUNCTION,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_NEUROLOGIC_DYSFUNCTION/LAT_NEUROLOGIC_DYSFUNCTION_cate.csv,37583f4eac3f0ceb034afff9257fdb6fc4820997189f67ea3696a03cf8b42853,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_RENAL_DYSFUNCTION,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_RENAL_DYSFUNCTION/LAT_RENAL_DYSFUNCTION_cate.csv,193c325cbcce65be4f39b7b7f41aec6a1a403681629d08da605e195ef4c94016,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_RESPIRATORY_FAILURE,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_RESPIRATORY_FAILURE/LAT_RESPIRATORY_FAILURE_cate.csv,3961aa6db4a141e228913651cf1262cbefb1cd566cd3fcab1dd30c28185b13ac,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_SHOCK,patient_level_cate_distribution,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_SHOCK/LAT_SHOCK_cate.csv,adb97be57e51146f92314b5d0d2472f1aa2500a939813468dd2e5c7e3fa8c90b,26845,,False,F-CATE-DIST-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,NO_NEW_SUBGROUP_EFFECTS,Patient-level CATE artifact inventoried; no new summary computed.
mimic,CausalForestDML,original,LAT_CARDIAC_STRAIN,feature_importance_or_coefficients,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_feature_importance.csv,668f2ef88d436afbc989726e06e80f75b1bd203bdddb5d5d4448e92a70085e69,5,5,,F-FEATURE-IMP-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,FEATURE_IMPORTANCE_NOT_MECHANISM,Candidate only; no mechanistic interpretation.
mimic,CausalForestDML,original,LAT_GLOBAL_SEVERITY,feature_importance_or_coefficients,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_feature_importance.csv,f296bcf971257be633c5e1881be7520e025f40132c671dd73ca7078dba36a090,5,5,,F-FEATURE-IMP-01,PENDING_HUMAN_SELECTION,PENDING_HUMAN_SELECTION,FEATURE_IMPORTANCE_NOT_MECHANISM,Candidate only; no mechanistic interpretation.
