snapshot_id,artifact_type,file,line_or_context,exact_value,pre_edit_hash,post_edit_value,unchanged,authorized_formatting_exception,notes
S5.5-00001,integer,thesis-writing/thesis/main.tex,line 1,1,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00002,integer,thesis-writing/thesis/main.tex,line 7,1,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00003,integer,thesis-writing/thesis/main.tex,line 34,1,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00004,integer,thesis-writing/thesis/main.tex,line 34,1,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00005,integer,thesis-writing/thesis/main.tex,line 35,1,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00006,integer,thesis-writing/thesis/main.tex,line 35,1,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,1,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00007,integer,thesis-writing/thesis/main.tex,line 37,2,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,2,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00008,integer,thesis-writing/thesis/main.tex,line 38,2,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,2,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00009,integer,thesis-writing/thesis/main.tex,line 68,01,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,01,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00010,integer,thesis-writing/thesis/main.tex,line 69,02,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,02,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00011,integer,thesis-writing/thesis/main.tex,line 70,03,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,03,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00012,integer,thesis-writing/thesis/main.tex,line 71,04,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,04,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00013,integer,thesis-writing/thesis/main.tex,line 72,05,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,05,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00014,integer,thesis-writing/thesis/main.tex,line 73,06,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,06,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00015,integer,thesis-writing/thesis/main.tex,line 74,07,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,07,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00016,integer,thesis-writing/thesis/main.tex,line 75,08,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,08,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00017,integer,thesis-writing/thesis/main.tex,line 76,09,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,09,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00018,integer,thesis-writing/thesis/main.tex,line 77,10,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,10,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00019,integer,thesis-writing/thesis/main.tex,line 78,11,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,11,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00020,integer,thesis-writing/thesis/main.tex,line 79,12,3a4d63f15faa24dad64ad165da08abe269bb2696766876d54a4db60da5893c05,12,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00021,integer,thesis-writing/thesis/frontmatter/abstract_primary.tex,line 6,2012,968415da17f5be0926f690c056e2471d9b0b3397fddb9ffe6f5577ba2de31769,2012,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00022,integer,thesis-writing/thesis/frontmatter/abstract_primary.tex,line 8,19,968415da17f5be0926f690c056e2471d9b0b3397fddb9ffe6f5577ba2de31769,19,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00023,integer,thesis-writing/thesis/frontmatter/abstract_primary.tex,line 8,18,968415da17f5be0926f690c056e2471d9b0b3397fddb9ffe6f5577ba2de31769,18,YES,NONE,Static frozen-content comparison; unchanged.
S5.5-00024,integer,thesis-writing/thesis/frontmatter/abstract_primary.tex,line 8,19,968415da17f5be0926f690c056e2471d9b0b3397fddb9ffe6f5577ba2de31769,19,YES,NONE,Static frozen-content comparison; unchanged.
