dataset,node,node_type,active_source_present,archived_pickle_present,attribute_match,figure_label_expected,notes
MIMIC-III,BG_ADMISSION_CONTEXT,background,True,True,True,BG_ADMISSION_CONTEXT,
MIMIC-III,BG_AGE,background,True,True,True,BG_AGE,
MIMIC-III,BG_ETHNICITY_INSURANCE_LANGUAGE,background,True,True,True,BG_ETHNICITY_INSURANCE_LANGUAGE,
MIMIC-III,BG_ICU_UNIT,background,True,True,True,BG_ICU_UNIT,
MIMIC-III,BG_SEX,background,True,True,True,BG_SEX,
MIMIC-III,LAT_CARDIAC_STRAIN,latent,True,True,True,LAT_CARDIAC_STRAIN,
MIMIC-III,LAT_CHRONIC_BURDEN,latent,True,True,True,LAT_CHRONIC_BURDEN,
MIMIC-III,LAT_GLOBAL_SEVERITY,latent,True,True,True,LAT_GLOBAL_SEVERITY,
MIMIC-III,LAT_HEPATIC_COAG_DYSFUNCTION,latent,True,True,True,LAT_HEPATIC_COAG_DYSFUNCTION,
MIMIC-III,LAT_INFLAMMATION_SEPSIS,latent,True,True,True,LAT_INFLAMMATION_SEPSIS,
MIMIC-III,LAT_METABOLIC_DERANGEMENT,latent,True,True,True,LAT_METABOLIC_DERANGEMENT,
MIMIC-III,LAT_NEUROLOGIC_DYSFUNCTION,latent,True,True,True,LAT_NEUROLOGIC_DYSFUNCTION,
MIMIC-III,LAT_RENAL_DYSFUNCTION,latent,True,True,True,LAT_RENAL_DYSFUNCTION,
MIMIC-III,LAT_RESPIRATORY_FAILURE,latent,True,True,True,LAT_RESPIRATORY_FAILURE,
MIMIC-III,LAT_SHOCK,latent,True,True,True,LAT_SHOCK,
MIMIC-III,MISS_MEASUREMENT_INTENSITY,observed,True,True,True,MISS_MEASUREMENT_INTENSITY,
MIMIC-III,OBS_AVAILABILITY,observed,True,True,True,OBS_AVAILABILITY,
MIMIC-III,OBS_BILIRUBIN_PLATELETS_INR,observed,True,True,True,OBS_BILIRUBIN_PLATELETS_INR,
MIMIC-III,OBS_BLOOD_PRESSURE,observed,True,True,True,OBS_BLOOD_PRESSURE,
MIMIC-III,OBS_CREATININE_BUN_ELECTROLYTES,observed,True,True,True,OBS_CREATININE_BUN_ELECTROLYTES,
MIMIC-III,OBS_CREATININE_BUN_URINE,observed,True,True,True,OBS_CREATININE_BUN_URINE,
MIMIC-III,OBS_CULTURES_MEDICATIONS,observed,True,True,True,OBS_CULTURES_MEDICATIONS,
MIMIC-III,OBS_GCS_RASS,observed,True,True,True,OBS_GCS_RASS,
MIMIC-III,OBS_LAB_COUNTS,observed,True,True,True,OBS_LAB_COUNTS,
MIMIC-III,OBS_LACTATE,observed,True,True,True,OBS_LACTATE,
MIMIC-III,OBS_OXYGENATION,observed,True,True,True,OBS_OXYGENATION,
MIMIC-III,OBS_PH_ELECTROLYTES_GLUCOSE,observed,True,True,True,OBS_PH_ELECTROLYTES_GLUCOSE,
MIMIC-III,OBS_TEMP_WBC_CULTURES,observed,True,True,True,OBS_TEMP_WBC_CULTURES,
MIMIC-III,OBS_TROPONIN_ECG,observed,True,True,True,OBS_TROPONIN_ECG,
MIMIC-III,OBS_VENTILATOR_SETTINGS,observed,True,True,True,OBS_VENTILATOR_SETTINGS,
MIMIC-III,OBS_VITAL_COUNTS,observed,True,True,True,OBS_VITAL_COUNTS,
MIMIC-III,OUT_MORTALITY,observed,True,True,True,OUT_MORTALITY,
MIMIC-III,TRT_ANTIBIOTICS,observed,True,True,True,TRT_ANTIBIOTICS,
MIMIC-III,TRT_DIALYSIS,observed,True,True,True,TRT_DIALYSIS,
MIMIC-III,TRT_MECH_VENT,observed,True,True,True,TRT_MECH_VENT,
MIMIC-III,TRT_VASOPRESSORS,observed,True,True,True,TRT_VASOPRESSORS,
