dataset,edge_number,parent,child,edge_inventory_path,clinical_rationale,rationale_origin,original_chatgpt_source_ids,original_chatgpt_mapping_status,original_chatgpt_locator,doi_or_url,independent_verification_source_ids,independent_verification_status,support_verdict,verification_locator,limitations
MIMIC-III,1,BG_ADMISSION_CONTEXT,LAT_GLOBAL_SEVERITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline/case-mix context precedes and influences the downstream proxy state.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,2,BG_ADMISSION_CONTEXT,LAT_INFLAMMATION_SEPSIS,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline/case-mix context precedes and influences the downstream proxy state.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,3,BG_ADMISSION_CONTEXT,MISS_MEASUREMENT_INTENSITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: case mix and care setting influence monitoring or test-ordering intensity.,Current graph source/final ChatGPT mechanism table; project structural assumption,O_SISK2021,CONFIRMED FAMILY-LEVEL ORIGINAL CHATGPT SOURCE,mimic-prompt-running.pdf sections 6 and 10,10.1093/jamia/ocaa242,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,4,BG_AGE,LAT_CHRONIC_BURDEN,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline/case-mix context precedes and influences the downstream proxy state.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,5,BG_AGE,OUT_MORTALITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline risk can affect mortality through measured and unmeasured pathways.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,6,BG_ETHNICITY_INSURANCE_LANGUAGE,MISS_MEASUREMENT_INTENSITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: case mix and care setting influence monitoring or test-ordering intensity.,Current graph source/final ChatGPT mechanism table; project structural assumption,O_SISK2021,CONFIRMED FAMILY-LEVEL ORIGINAL CHATGPT SOURCE,mimic-prompt-running.pdf sections 6 and 10,10.1093/jamia/ocaa242,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,7,BG_ETHNICITY_INSURANCE_LANGUAGE,OUT_MORTALITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline risk can affect mortality through measured and unmeasured pathways.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,8,BG_ICU_UNIT,LAT_GLOBAL_SEVERITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline/case-mix context precedes and influences the downstream proxy state.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,9,BG_ICU_UNIT,MISS_MEASUREMENT_INTENSITY,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: case mix and care setting influence monitoring or test-ordering intensity.,Current graph source/final ChatGPT mechanism table; project structural assumption,O_SISK2021,CONFIRMED FAMILY-LEVEL ORIGINAL CHATGPT SOURCE,mimic-prompt-running.pdf sections 6 and 10,10.1093/jamia/ocaa242,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,10,BG_SEX,LAT_CHRONIC_BURDEN,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project assumption: baseline/case-mix context precedes and influences the downstream proxy state.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
MIMIC-III,11,LAT_CARDIAC_STRAIN,LAT_SHOCK,thesis-writing/logs/stage_5_2_figure_values/F-DAG-MIMIC-edges.csv,Project structural hypothesis: the parent physiological state is upstream of the child state.,Current graph source/final ChatGPT mechanism table; project structural assumption,,NO ORIGINAL CHATGPT SOURCE FOUND,mimic-prompt-running.pdf sections 6 and 10,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,No edge-specific locally verified source was mapped.
