table_id,file,chapter,latex_label,caption,table_type,evidence_role,authoritative_source,exact_source_location,dataset_scope,cohort_scope,estimator_scope,row_count,numeric_cell_count,numeric_cells_checked,textual_claims_checked,rounding_rule,missing_value_policy,failure_policy,sorting_rule,caption_status,source_status,layout_status,required_action,notes
tab:introduction-contributions,thesis-writing/thesis/chapters/01_introduction.tex,Chapter 1,tab:introduction-contributions,"Contribution hierarchy, evidence supplied by the thesis, and principal boundaries.",method/design/evidence table,methodological or interpretive support,thesis-writing/planning/chapter_evidence_map.md; thesis chapters; checked result packet; Stage 5.1 report,thesis-writing/planning/chapter_evidence_map.md; thesis chapters; checked result packet; Stage 5.1 report,cross-dataset,N/A or stated in rows,N/A or stated in rows,6,1,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:background-datasets,thesis-writing/thesis/chapters/02_background_related_work.tex,Chapter 2,tab:background-datasets,Conceptual roles of the ICU datasets used in this thesis.,method/design/evidence table,methodological or interpretive support,thesis-writing/literature/metadata/catalog.csv; official dataset citations in references.bib; preprocessing contracts,thesis-writing/literature/metadata/catalog.csv; official dataset citations in references.bib; preprocessing contracts,cross-dataset,N/A or stated in rows,N/A or stated in rows,2,2,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:background-model-families,thesis-writing/thesis/chapters/02_background_related_work.tex,Chapter 2,tab:background-model-families,Predictive model families included in the thesis comparison.,method/design/evidence table,methodological or interpretive support,approved literature in references.bib; active predictive source; archived training artifacts,approved literature in references.bib; active predictive source; archived training artifacts,cross-dataset,N/A or stated in rows,N/A or stated in rows,5,6,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:data-contracts,thesis-writing/thesis/chapters/04_data_preprocessing.tex,Chapter 4,tab:data-contracts,Processed artifact contracts used by the causal and STraTS repositories.,method/design/evidence table,methodological or interpretive support,causal-irregular-time-series/src/preprocess_*.py; causal-irregular-time-series/src/cate_estimation.py; STraTS data loaders,causal-irregular-time-series/src/preprocess_*.py; causal-irregular-time-series/src/cate_estimation.py; STraTS data loaders,cross-dataset,N/A or stated in rows,N/A or stated in rows,5,1,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:llm-prompt-artifact-provenance,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,Chapter 5,tab:llm-prompt-artifact-provenance,Prompt and document artifacts used as design provenance for proxy-state and DAG construction.,method/design/evidence table,methodological or interpretive support,design prompt/document artifacts named in the table; stage_4_3_llm_prompt_repair_report.md,design prompt/document artifacts named in the table; stage_4_3_llm_prompt_repair_report.md,cross-dataset,N/A or stated in rows,N/A or stated in rows,5,1,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:proxy-source-types,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,Chapter 5,tab:proxy-source-types,Proxy-state source types used in the thesis pipeline.,method/design/evidence table,methodological or interpretive support,active proxy taggers; prediction export code; majority-vote implementation,active proxy taggers; prediction export code; majority-vote implementation,cross-dataset,N/A or stated in rows,N/A or stated in rows,3,2,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:physionet-proxy-definitions,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,Chapter 5,tab:physionet-proxy-definitions,PhysioNet rule-derived proxy-state definitions from the active tagger.,method/design/evidence table,methodological or interpretive support,causal-irregular-time-series/src/tagging_latent_variables_physionet.py,causal-irregular-time-series/src/tagging_latent_variables_physionet.py,PhysioNet 2012,N/A or stated in rows,N/A or stated in rows,11,20,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,Column allocation and long identifier wrap repaired.
tab:mimic-proxy-definitions,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,Chapter 5,tab:mimic-proxy-definitions,MIMIC rule-derived proxy-state definitions from the active tagger.,method/design/evidence table,methodological or interpretive support,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,MIMIC-III,N/A or stated in rows,N/A or stated in rows,10,18,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,REPAIRED_PASS,REPAIRED_LAYOUT,Column allocation and long identifier wrap repaired.
tab:predictive-model-comparison,thesis-writing/thesis/chapters/06_predictive_modeling.tex,Chapter 6,tab:predictive-model-comparison,Implemented predictive model families and non-numeric evidence status.,method/design/evidence table,methodological or interpretive support,STraTS and causal-router active model sources; checked_predictive_exports.csv,STraTS and causal-router active model sources; checked_predictive_exports.csv,cross-dataset,N/A or stated in rows,N/A or stated in rows,5,5,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
tab:prediction-export-schema,thesis-writing/thesis/chapters/06_predictive_modeling.tex,Chapter 6,tab:prediction-export-schema,Prediction export schema before downstream voter normalization.,method/design/evidence table,methodological or interpretive support,STraTS prediction export code; split_predicted_latent_tags.py; router.py,STraTS prediction export code; split_predicted_latent_tags.py; router.py,cross-dataset,N/A or stated in rows,N/A or stated in rows,3,2,ALL numeric thresholds/count-like cells checked against named source,ALL rows and status labels checked,N/A; source-exact thresholds where present,Missing/unavailable evidence stated explicitly,Planned/missing/unresolved not represented as completed,logical/design order; no result-based selection,PASS_EVIDENCE_BOUNDED,PASS_SOURCE_CHECKED,PASS,NONE,No unreconciled cell or layout issue.
