audit_id,citation_key,use_count,bibliography_entry_count,catalog_entry_count,corpus_tier,pdf_status,used_in_files,claim_alignment,citation_placement,optional_or_excluded,malformed_key,duplicate_work_status,status,required_action,notes
K001,athey2019grf,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K002,bai2018tcn,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K003,banda_2018_electronic_phenotyping,6,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K004,bica_2021_individualized_treatment_effects_ehr_ml,4,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K005,che2018grud,7,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K006,chernozhukov2018dml,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K007,chernozhukov_et_al_2026_ovb_causal_ml,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K008,cho2014gru,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K009,cinelli_hazlett_2020_sensitivity,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K010,crump_et_al_2009_limited_overlap,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K011,curth_2024_ml_individualized_treatment_effects,3,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K012,essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K013,harutyunyan_2019_mimiciii_benchmark,2,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/04_data_preprocessing.tex,DATASET_OR_BENCHMARK_CONTEXT_ONLY,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K014,hernan_robins_2016_target_trial,4,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/03_problem_definition_study_design.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
