check_id,file,term_or_claim,context,current_boundary,status,edit_required,post_edit_boundary,notes
BOUND-0001,thesis-writing/thesis/frontmatter/abstract_primary.tex,clinically,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0002,thesis-writing/thesis/frontmatter/abstract_primary.tex,clinical,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0003,thesis-writing/thesis/frontmatter/abstract_primary.tex,validation,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.",Evidence and provenance are qualified; no unearned validation or reproducibility claim.,RETAINED—QUALIFIED,NO,Evidence and provenance are qualified; no unearned validation or reproducibility claim.,Static reader-facing occurrence reviewed.
BOUND-0004,thesis-writing/thesis/frontmatter/abstract_primary.tex,treatment,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0005,thesis-writing/thesis/frontmatter/abstract_primary.tex,recommendation,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0006,thesis-writing/thesis/frontmatter/abstract_primary.tex,deployment,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0007,thesis-writing/thesis/frontmatter/abstract_primary.tex,effect,"The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive matching, heterogeneous-effect estimation, and available robustness and provenance checks. The predictive evaluation compares four learned models against rule-derived labels. The causal-analysis component treats proxy states as analytical exposures: they are not chart-adjudicated diagnoses, and the project DAGs are neither learned from data nor clinically validated.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0008,thesis-writing/thesis/frontmatter/abstract_primary.tex,causal,"The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive matching, heterogeneous-effect estimation, and available robustness and provenance checks. The predictive evaluation compares four learned models against rule-derived labels. The causal-analysis component treats proxy states as analytical exposures: they are not chart-adjudicated diagnoses, and the project DAGs are neither learned from data nor clinically validated.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0009,thesis-writing/thesis/frontmatter/abstract_primary.tex,clinically,"The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive matching, heterogeneous-effect estimation, and available robustness and provenance checks. The predictive evaluation compares four learned models against rule-derived labels. The causal-analysis component treats proxy states as analytical exposures: they are not chart-adjudicated diagnoses, and the project DAGs are neither learned from data nor clinically validated.","Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",RETAINED—QUALIFIED,NO,"Proxy states are not diagnoses; no clinical validation, recommendation, or deployment claim.",Static reader-facing occurrence reviewed.
BOUND-0010,thesis-writing/thesis/frontmatter/abstract_primary.tex,validated,"The workflow is evaluated separately in the PhysioNet 2012 and MIMIC-III cohorts. It combines dataset-specific preprocessing, deterministic rule-derived proxy states, multi-label proxy-state prediction, normalization and algorithmic aggregation of prediction outputs, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment, descriptive matching, heterogeneous-effect estimation, and available robustness and provenance checks. The predictive evaluation compares four learned models against rule-derived labels. The causal-analysis component treats proxy states as analytical exposures: they are not chart-adjudicated diagnoses, and the project DAGs are neither learned from data nor clinically validated.",Evidence and provenance are qualified; no unearned validation or reproducibility claim.,RETAINED—QUALIFIED,NO,Evidence and provenance are qualified; no unearned validation or reproducibility claim.,Static reader-facing occurrence reviewed.
BOUND-0011,thesis-writing/thesis/frontmatter/abstract_primary.tex,CausalForestDML,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic support remain unresolved. Matching provides descriptive matched-pair outcome differences rather than confirmation of an intervention effect. Results are reported separately by dataset and are not pooled.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0012,thesis-writing/thesis/frontmatter/abstract_primary.tex,CausalForestDML,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic support remain unresolved. Matching provides descriptive matched-pair outcome differences rather than confirmation of an intervention effect. Results are reported separately by dataset and are not pooled.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0013,thesis-writing/thesis/frontmatter/abstract_primary.tex,CausalPFN,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic support remain unresolved. Matching provides descriptive matched-pair outcome differences rather than confirmation of an intervention effect. Results are reported separately by dataset and are not pooled.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0014,thesis-writing/thesis/frontmatter/abstract_primary.tex,intervention,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic support remain unresolved. Matching provides descriptive matched-pair outcome differences rather than confirmation of an intervention effect. Results are reported separately by dataset and are not pooled.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
BOUND-0015,thesis-writing/thesis/frontmatter/abstract_primary.tex,effect,"For the primary original-cohort CausalForestDML summaries, all nine MIMIC-III proxy-state summaries were positive; nine of ten PhysioNet summaries were positive, with shock negative. CausalForestDML and LinearDML agreed in direction in all 19 original-cohort dataset--exposure comparisons. All three estimators agreed in direction in 18 of 19 comparisons; CausalPFN is retained only as an exploratory estimator because its primary methodological source and comparable diagnostic support remain unresolved. Matching provides descriptive matched-pair outcome differences rather than confirmation of an intervention effect. Results are reported separately by dataset and are not pooled.",Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,RETAINED—QUALIFIED,NO,Observational proxy-state estimate; causal interpretation remains conditional on stated assumptions.,Static reader-facing occurrence reviewed.
