table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-linear-comparison,MIMIC|LAT_CARDIAC_STRAIN,forest,checked_cate_candidates.csv:original CausalForestDML,0.220,0.220,YES,
tab:results-linear-comparison,MIMIC|LAT_CARDIAC_STRAIN,linear,checked_cate_candidates.csv:original LinearDML,0.188,0.188,YES,
tab:results-linear-comparison,MIMIC|LAT_CARDIAC_STRAIN,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_INFLAMMATION_SEPSIS,forest,checked_cate_candidates.csv:original CausalForestDML,0.161,0.161,YES,
tab:results-linear-comparison,MIMIC|LAT_INFLAMMATION_SEPSIS,linear,checked_cate_candidates.csv:original LinearDML,0.161,0.161,YES,
tab:results-linear-comparison,MIMIC|LAT_INFLAMMATION_SEPSIS,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.098,0.098,YES,
tab:results-linear-comparison,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.083,0.083,YES,
tab:results-linear-comparison,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_RENAL_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.091,0.091,YES,
tab:results-linear-comparison,MIMIC|LAT_RENAL_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.089,0.089,YES,
tab:results-linear-comparison,MIMIC|LAT_RENAL_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_GLOBAL_SEVERITY,forest,checked_cate_candidates.csv:original CausalForestDML,0.062,0.062,YES,
tab:results-linear-comparison,MIMIC|LAT_GLOBAL_SEVERITY,linear,checked_cate_candidates.csv:original LinearDML,0.080,0.080,YES,
tab:results-linear-comparison,MIMIC|LAT_GLOBAL_SEVERITY,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_RESPIRATORY_FAILURE,forest,checked_cate_candidates.csv:original CausalForestDML,0.036,0.036,YES,
tab:results-linear-comparison,MIMIC|LAT_RESPIRATORY_FAILURE,linear,checked_cate_candidates.csv:original LinearDML,0.039,0.039,YES,
tab:results-linear-comparison,MIMIC|LAT_RESPIRATORY_FAILURE,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.034,0.034,YES,
tab:results-linear-comparison,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.032,0.032,YES,
tab:results-linear-comparison,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_SHOCK,forest,checked_cate_candidates.csv:original CausalForestDML,0.021,0.021,YES,
tab:results-linear-comparison,MIMIC|LAT_SHOCK,linear,checked_cate_candidates.csv:original LinearDML,0.021,0.021,YES,
tab:results-linear-comparison,MIMIC|LAT_SHOCK,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,MIMIC|LAT_METABOLIC_DERANGEMENT,forest,checked_cate_candidates.csv:original CausalForestDML,0.020,0.020,YES,
tab:results-linear-comparison,MIMIC|LAT_METABOLIC_DERANGEMENT,linear,checked_cate_candidates.csv:original LinearDML,0.018,0.018,YES,
tab:results-linear-comparison,MIMIC|LAT_METABOLIC_DERANGEMENT,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_RENAL_DYSFUNCTION,forest,checked_cate_candidates.csv:original CausalForestDML,0.120,0.120,YES,
tab:results-linear-comparison,PhysioNet|LAT_RENAL_DYSFUNCTION,linear,checked_cate_candidates.csv:original LinearDML,0.091,0.091,YES,
tab:results-linear-comparison,PhysioNet|LAT_RENAL_DYSFUNCTION,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_CARDIAC_INJURY_STRAIN,forest,checked_cate_candidates.csv:original CausalForestDML,0.112,0.112,YES,
tab:results-linear-comparison,PhysioNet|LAT_CARDIAC_INJURY_STRAIN,linear,checked_cate_candidates.csv:original LinearDML,0.122,0.122,YES,
tab:results-linear-comparison,PhysioNet|LAT_CARDIAC_INJURY_STRAIN,same_direction,sign(mean_cate),Yes,Yes,YES,
tab:results-linear-comparison,PhysioNet|LAT_GLOBAL_SEVERITY,forest,checked_cate_candidates.csv:original CausalForestDML,0.108,0.108,YES,
tab:results-linear-comparison,PhysioNet|LAT_GLOBAL_SEVERITY,linear,checked_cate_candidates.csv:original LinearDML,0.107,0.107,YES,
tab:results-linear-comparison,PhysioNet|LAT_GLOBAL_SEVERITY,same_direction,sign(mean_cate),Yes,Yes,YES,
