table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-matching-support,MIMIC|LAT_CARDIAC_STRAIN,pairs,checked_matching_results.csv:original cross-run-consistent,"4,769","4,769",YES,
tab:results-matching-support,MIMIC|LAT_CARDIAC_STRAIN,match_rate,checked_matching_results.csv:original cross-run-consistent,1.000,1.000,YES,
tab:results-matching-support,MIMIC|LAT_CARDIAC_STRAIN,distance,checked_matching_results.csv:original cross-run-consistent,0,0,YES,
tab:results-matching-support,MIMIC|LAT_CARDIAC_STRAIN,difference,checked_matching_results.csv:original cross-run-consistent,0.345,0.345,YES,
tab:results-matching-support,MIMIC|LAT_CARDIAC_STRAIN,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient,Sufficient,YES,
tab:results-matching-support,MIMIC|LAT_GLOBAL_SEVERITY,pairs,checked_matching_results.csv:original cross-run-consistent,"7,537","7,537",YES,
tab:results-matching-support,MIMIC|LAT_GLOBAL_SEVERITY,match_rate,checked_matching_results.csv:original cross-run-consistent,0.390,0.390,YES,
tab:results-matching-support,MIMIC|LAT_GLOBAL_SEVERITY,distance,checked_matching_results.csv:original cross-run-consistent,1,1,YES,
tab:results-matching-support,MIMIC|LAT_GLOBAL_SEVERITY,difference,checked_matching_results.csv:original cross-run-consistent,0.075,0.075,YES,
tab:results-matching-support,MIMIC|LAT_GLOBAL_SEVERITY,support_status,checked_matching_results.csv:original cross-run-consistent,Weak: insufficient-pair flag,Weak: insufficient-pair flag,YES,
tab:results-matching-support,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,pairs,checked_matching_results.csv:original cross-run-consistent,"6,478","6,478",YES,
tab:results-matching-support,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,match_rate,checked_matching_results.csv:original cross-run-consistent,1.000,1.000,YES,
tab:results-matching-support,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,distance,checked_matching_results.csv:original cross-run-consistent,0,0,YES,
tab:results-matching-support,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,difference,checked_matching_results.csv:original cross-run-consistent,0.133,0.133,YES,
tab:results-matching-support,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient,Sufficient,YES,
tab:results-matching-support,MIMIC|LAT_METABOLIC_DERANGEMENT,pairs,checked_matching_results.csv:original cross-run-consistent,"5,061","5,061",YES,
tab:results-matching-support,MIMIC|LAT_METABOLIC_DERANGEMENT,match_rate,checked_matching_results.csv:original cross-run-consistent,0.506,0.506,YES,
tab:results-matching-support,MIMIC|LAT_METABOLIC_DERANGEMENT,distance,checked_matching_results.csv:original cross-run-consistent,0,0,YES,
tab:results-matching-support,MIMIC|LAT_METABOLIC_DERANGEMENT,difference,checked_matching_results.csv:original cross-run-consistent,0.037,0.037,YES,
tab:results-matching-support,MIMIC|LAT_METABOLIC_DERANGEMENT,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient,Sufficient,YES,
tab:results-matching-support,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,pairs,checked_matching_results.csv:original cross-run-consistent,"6,275","6,275",YES,
tab:results-matching-support,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,match_rate,checked_matching_results.csv:original cross-run-consistent,0.539,0.539,YES,
tab:results-matching-support,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,distance,checked_matching_results.csv:original cross-run-consistent,0,0,YES,
tab:results-matching-support,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,difference,checked_matching_results.csv:original cross-run-consistent,0.027,0.027,YES,
tab:results-matching-support,MIMIC|LAT_NEUROLOGIC_DYSFUNCTION,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient,Sufficient,YES,
tab:results-matching-support,MIMIC|LAT_RENAL_DYSFUNCTION,pairs,checked_matching_results.csv:original cross-run-consistent,"8,915","8,915",YES,
tab:results-matching-support,MIMIC|LAT_RENAL_DYSFUNCTION,match_rate,checked_matching_results.csv:original cross-run-consistent,0.915,0.915,YES,
tab:results-matching-support,MIMIC|LAT_RENAL_DYSFUNCTION,distance,checked_matching_results.csv:original cross-run-consistent,0,0,YES,
tab:results-matching-support,MIMIC|LAT_RENAL_DYSFUNCTION,difference,checked_matching_results.csv:original cross-run-consistent,0.134,0.134,YES,
tab:results-matching-support,MIMIC|LAT_RENAL_DYSFUNCTION,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient,Sufficient,YES,
tab:results-matching-support,MIMIC|LAT_RESPIRATORY_FAILURE,pairs,checked_matching_results.csv:original cross-run-consistent,"10,998","10,998",YES,
tab:results-matching-support,MIMIC|LAT_RESPIRATORY_FAILURE,match_rate,checked_matching_results.csv:original cross-run-consistent,0.694,0.694,YES,
tab:results-matching-support,MIMIC|LAT_RESPIRATORY_FAILURE,distance,checked_matching_results.csv:original cross-run-consistent,2,2,YES,
tab:results-matching-support,MIMIC|LAT_RESPIRATORY_FAILURE,difference,checked_matching_results.csv:original cross-run-consistent,0.106,0.106,YES,
tab:results-matching-support,MIMIC|LAT_RESPIRATORY_FAILURE,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient; distance 2,Sufficient; distance 2,YES,
tab:results-matching-support,MIMIC|LAT_SHOCK,pairs,checked_matching_results.csv:original cross-run-consistent,"10,380","10,380",YES,
tab:results-matching-support,MIMIC|LAT_SHOCK,match_rate,checked_matching_results.csv:original cross-run-consistent,0.717,0.717,YES,
tab:results-matching-support,MIMIC|LAT_SHOCK,distance,checked_matching_results.csv:original cross-run-consistent,1,1,YES,
tab:results-matching-support,MIMIC|LAT_SHOCK,difference,checked_matching_results.csv:original cross-run-consistent,0.039,0.039,YES,
tab:results-matching-support,MIMIC|LAT_SHOCK,support_status,checked_matching_results.csv:original cross-run-consistent,Sufficient,Sufficient,YES,
