path,line_or_section,current_claim,classification,required_action,evidence_source,citation_key,final_status
thesis-writing/logs/stage_4_10C_evidence_report.md,line 34,The title remains “A DAG-Guided Framework for Proxy-State Effect Estimation in Irregular ICU Time Series.” It aligns with Chapters 1 and 10--12 when effect estimation is read as observational and conditional. It was not changed. It is provisional pending author/supervisor approval; the official Hebrew title remains unavailable.,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_10C_evidence_report.md,line 43,| Workflow/datasets | Separate PhysioNet 2012 and MIMIC-III analysis with prediction and DAG-guided adjusted analysis. | Same. | Yes |,historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_10C_evidence_report.md,line 48,"Both abstracts contain no citations or footnotes. They add no unsupported model family, aggregate, clinical conclusion, treatment recommendation, clean-checkout claim, or LLM-expertise/discovery claim. Polyglossia Hebrew support uses installed FreeSerif; the rendered Hebrew, Latin terms, punctuation, and direction were inspected.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/logs/stage_4_10C_evidence_report.md,line 52,"There are 15 English and 15 corresponding Hebrew keywords: irregular clinical time series, intensive care, electronic health records, proxy states, multi-label prediction, missingness-aware modeling, directed acyclic graphs, observational causal inference, double machine learning, causal forests, heterogeneous effect estimation, sensitivity analysis, evidence provenance, MIMIC-III, and PhysioNet 2012. InterpNet, diagnosis, clinical decision support, and treatment recommendation are absent.",historical record that must remain unchanged,Do not rewrite; preserve as a time-stamped historical record and use current canonical files for present framing.,Protected historical-record policy and current author clarification.,,RETAINED — protected historical record; superseded where applicable
thesis-writing/audit/experiment_inventory.csv,line 14,"causal_mimic_forest_original,causal,mimic,effect_estimation,CausalForest,original,outputs-mimic-forest,not_applicable,not_applicable,""majority-vote tags; MIMIC processed pickle; MIMIC DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-mimic-forest"",""final-results/causal-outputs/outputs-mimic-forest/run_summary.json"",""final-results/causal-outputs/outputs-mimic-forest/logs/*.log"",yes,yes,yes,yes,partial,yes,""Stages graph, majority_vote, mortality_prediction, matching, cate_estimation, analyze_cate_results, permutations_test all success; CATE rows 9; sensitivity/permutation present; config CSV [CONFIGURATION MISSING].""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 15,"causal_mimic_forest_downsample,causal,mimic,effect_estimation,CausalForest,downsampled,outputs-mimic-forest-downsample,not_applicable,not_applicable,""majority-vote tags; MIMIC processed pickle; MIMIC DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-2.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-mimic-forest-downsample"",""final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json"",""final-results/causal-outputs/outputs-mimic-forest-downsample/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 9; sensitivity/permutation present; downsample label from folder and cross-run tables; config CSV [CONFIGURATION MISSING].""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 16,"causal_mimic_linear_original,causal,mimic,effect_estimation,LinearDML,original,outputs-mimic-linear,not_applicable,not_applicable,""majority-vote tags; MIMIC processed pickle; MIMIC DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-3.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-mimic-linear"",""final-results/causal-outputs/outputs-mimic-linear/run_summary.json"",""final-results/causal-outputs/outputs-mimic-linear/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 9; sensitivity/permutation present; contains misleading duplicate manager file physionet_manager_global_summary.csv in MIMIC run.""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 17,"causal_mimic_linear_downsample,causal,mimic,effect_estimation,LinearDML,downsampled,outputs-mimic-linear-downsample,not_applicable,not_applicable,""majority-vote tags; MIMIC processed pickle; MIMIC DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-4.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-mimic-linear-downsample"",""final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json"",""final-results/causal-outputs/outputs-mimic-linear-downsample/logs/*.log"",yes,yes,yes,yes,partial,yes,""All seven stages success; CATE rows 9; sensitivity/permutation present; config CSV [CONFIGURATION MISSING].""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 18,"causal_mimic_pfn_original,causal,mimic,effect_estimation,CausalPFN,original,outputs-mimic-pfn,not_applicable,not_applicable,""majority-vote tags; MIMIC processed pickle; MIMIC DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-5.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-mimic-pfn"",""final-results/causal-outputs/outputs-mimic-pfn/run_summary.json"",""final-results/causal-outputs/outputs-mimic-pfn/logs/*.log"",yes,yes,partial,partial,partial,yes,""Graph, majority_vote, mortality_prediction, matching, and CATE success; analyze_cate_results and permutations_test intentionally skipped because MODEL_TYPE=CausalPFN; CATE rows 9.""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
thesis-writing/audit/experiment_inventory.csv,line 19,"causal_mimic_pfn_downsample,causal,mimic,effect_estimation,CausalPFN,downsampled,outputs-mimic-pfn-downsample,not_applicable,not_applicable,""majority-vote tags; MIMIC processed pickle; MIMIC DAG"",""/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-6.csv"",""causal-irregular-time-series/main.py via run_summary.json"",""final-results/causal-outputs/outputs-mimic-pfn-downsample"",""final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json"",""final-results/causal-outputs/outputs-mimic-pfn-downsample/logs/*.log"",yes,yes,partial,partial,partial,yes,""Graph, majority_vote, mortality_prediction, matching, and CATE success; sensitivity/permutation intentionally skipped for PFN; CATE rows 9.""",implementation or artifact documentation requiring clarification,Preserve the artifact; do not treat it as current thesis authority. Clarify its status in canonical audit/evidence records.,"Artifact role, active source-code authority, author clarification, and protected-scope policy.",,RETAINED — artifact documentation; canonical clarification supplied
