copy_instance_id,copy_group_id,sha256,canonical_path,copy_path,artifact_role,byte_identical,copy_direction_known,copy_timestamp_available,timestamp_evidence_class,source_version_known,selection_status,notes
COPY-001,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-002,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-forest-downsample/graph/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-003,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-linear/graph/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-004,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-linear-downsample/graph/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-005,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-pfn/graph/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-006,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-pfn-downsample/graph/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-007,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,thesis-writing/figures-options/causal_dag_overview.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED_OR_EXCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-008,COPY-DAG-MIMIC,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,thesis-writing/thesis/figures/mimic_causal_dag.png,MIMIC DAG,YES,NO,NO,NOT_APPLICABLE,NO,INCLUDED,Hash equality proves byte identity only; causal_dag_overview.png is retained as excluded duplicate/rename to prevent duplicate inclusion.
COPY-009,COPY-DAG-PHYSIONET,67d545d696b480136ee9ed58604d2cd56b406832e7b48d5a67b946f4837be7c2,final-results/causal-outputs/outputs-physionet-forest/graph/physionet_causal_dag.png,final-results/causal-outputs/outputs-physionet-forest/graph/physionet_causal_dag.png,PhysioNet DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED,Hash equality proves byte identity only; no historical copy direction is asserted.
COPY-010,COPY-DAG-PHYSIONET,67d545d696b480136ee9ed58604d2cd56b406832e7b48d5a67b946f4837be7c2,final-results/causal-outputs/outputs-physionet-forest/graph/physionet_causal_dag.png,final-results/causal-outputs/outputs-physionet-forest-downsample/graph/physionet_causal_dag.png,PhysioNet DAG,YES,NO,NO,NOT_APPLICABLE,NO,ARCHIVED,Hash equality proves byte identity only; no historical copy direction is asserted.
