table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-robustness-summary,MIMIC|Forest|Original,matching,checked_matching_results.csv;checked_matching_failures.csv,8 available; 1 failed,8 available; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Forest|Original,sensitivity,checked_sensitivity_candidates.csv,8 partial; 1 failed,8 partial; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Forest|Original,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,MIMIC|Linear|Original,matching,checked_matching_results.csv;checked_matching_failures.csv,8 available; 1 failed,8 available; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Linear|Original,sensitivity,checked_sensitivity_candidates.csv,8 partial; 1 failed,8 partial; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Linear|Original,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,MIMIC|PFN|Original,matching,checked_matching_results.csv;checked_matching_failures.csv,8 available; 1 failed,8 available; 1 failed,YES,
tab:results-robustness-summary,MIMIC|PFN|Original,sensitivity,checked_sensitivity_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,MIMIC|PFN|Original,permutation,checked_permutation_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,MIMIC|Forest|Downsampled,matching,checked_matching_results.csv;checked_matching_failures.csv,8 available; 1 failed,8 available; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Forest|Downsampled,sensitivity,checked_sensitivity_candidates.csv,8 partial; 1 failed,8 partial; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Forest|Downsampled,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,MIMIC|Linear|Downsampled,matching,checked_matching_results.csv;checked_matching_failures.csv,8 available; 1 failed,8 available; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Linear|Downsampled,sensitivity,checked_sensitivity_candidates.csv,8 partial; 1 failed,8 partial; 1 failed,YES,
tab:results-robustness-summary,MIMIC|Linear|Downsampled,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,MIMIC|PFN|Downsampled,matching,checked_matching_results.csv;checked_matching_failures.csv,8 available; 1 failed,8 available; 1 failed,YES,
tab:results-robustness-summary,MIMIC|PFN|Downsampled,sensitivity,checked_sensitivity_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,MIMIC|PFN|Downsampled,permutation,checked_permutation_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,PhysioNet|Forest|Original,matching,checked_matching_results.csv;checked_matching_failures.csv,7 available; 3 failed,7 available; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Forest|Original,sensitivity,checked_sensitivity_candidates.csv,7 partial; 3 failed,7 partial; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Forest|Original,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,PhysioNet|Linear|Original,matching,checked_matching_results.csv;checked_matching_failures.csv,7 available; 3 failed,7 available; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Linear|Original,sensitivity,checked_sensitivity_candidates.csv,7 partial; 3 failed,7 partial; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Linear|Original,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,PhysioNet|PFN|Original,matching,checked_matching_results.csv;checked_matching_failures.csv,7 available; 3 failed,7 available; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|PFN|Original,sensitivity,checked_sensitivity_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,PhysioNet|PFN|Original,permutation,checked_permutation_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,PhysioNet|Forest|Downsampled,matching,checked_matching_results.csv;checked_matching_failures.csv,7 available; 3 failed,7 available; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Forest|Downsampled,sensitivity,checked_sensitivity_candidates.csv,7 partial; 3 failed,7 partial; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Forest|Downsampled,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,PhysioNet|Linear|Downsampled,matching,checked_matching_results.csv;checked_matching_failures.csv,7 available; 3 failed,7 available; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Linear|Downsampled,sensitivity,checked_sensitivity_candidates.csv,7 partial; 3 failed,7 partial; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|Linear|Downsampled,permutation,checked_permutation_candidates.csv,Treatment/outcome available,Treatment/outcome available,YES,
tab:results-robustness-summary,PhysioNet|PFN|Downsampled,matching,checked_matching_results.csv;checked_matching_failures.csv,7 available; 3 failed,7 available; 3 failed,YES,
tab:results-robustness-summary,PhysioNet|PFN|Downsampled,sensitivity,checked_sensitivity_candidates.csv,Intentional skip,Intentional skip,YES,
tab:results-robustness-summary,PhysioNet|PFN|Downsampled,permutation,checked_permutation_candidates.csv,Intentional skip,Intentional skip,YES,
