dataset,estimator,sampling_condition,run_name,treatment,permutation_type,num_trials,seed,original_statistic,permuted_mean,permuted_std,z_score,other_existing_fields,source_path,source_sha256,subprocess_status,warning_fields,row_validation_status,selection_status,admission_status,caveat_codes,notes
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_CARDIAC_STRAIN,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.0002851904829440302"", ""permuted_mean_cate_std"": ""0.005878181617697608"", ""permuted_mean_normalized_cate_mean"": ""-0.002360758098869129"", ""permuted_mean_normalized_cate_std"": ""0.048658583264598494"", ""real_mean_cate"": ""0.2203560383451443"", ""real_mean_normalized_cate"": ""1.824069642113907"", ""seed"": ""42"", ""snr_cate"": ""48.01358441593293"", ""snr_normalized_cate"": ""48.01358441593269"", ""treatment"": ""LAT_CARDIAC_STRAIN"", ""warnings"": """", ""zscore_cate"": ""37.53562635148896"", ""zscore_normalized_cate"": ""37.53562635148882""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_INFLAMMATION_SEPSIS,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""0.00012474939356241013"", ""permuted_mean_cate_std"": ""0.004769326013740785"", ""permuted_mean_normalized_cate_mean"": ""0.001032654169035728"", ""permuted_mean_normalized_cate_std"": ""0.03947966600026899"", ""real_mean_cate"": ""0.1611786307803166"", ""real_mean_normalized_cate"": ""1.3342091715379587"", ""seed"": ""42"", ""snr_cate"": ""44.38568941230571"", ""snr_normalized_cate"": ""44.38568941230529"", ""treatment"": ""LAT_INFLAMMATION_SEPSIS"", ""warnings"": """", ""zscore_cate"": ""33.768687844518475"", ""zscore_normalized_cate"": ""33.768687844518226""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_HEPATIC_COAG_DYSFUNCTION,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""0.00250500996781035"", ""permuted_mean_cate_std"": ""0.00375929863064079"", ""permuted_mean_normalized_cate_mean"": ""0.020736044583986958"", ""permuted_mean_normalized_cate_std"": ""0.031118831865418563"", ""real_mean_cate"": ""0.0975984906044951"", ""real_mean_normalized_cate"": ""0.8079036325247213"", ""seed"": ""42"", ""snr_cate"": ""27.120370249642864"", ""snr_normalized_cate"": ""27.12037024964248"", ""treatment"": ""LAT_HEPATIC_COAG_DYSFUNCTION"", ""warnings"": """", ""zscore_cate"": ""25.29553780633693"", ""zscore_normalized_cate"": ""25.295537806336824""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_RENAL_DYSFUNCTION,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.0006664401340112374"", ""permuted_mean_cate_std"": ""0.003429968292462882"", ""permuted_mean_normalized_cate_mean"": ""-0.0055166775817244"", ""permuted_mean_normalized_cate_std"": ""0.02839269158531204"", ""real_mean_cate"": ""0.0912904444183192"", ""real_mean_normalized_cate"": ""0.7556867037957999"", ""seed"": ""42"", ""snr_cate"": ""32.20778659673438"", ""snr_normalized_cate"": ""32.20778659673392"", ""treatment"": ""LAT_RENAL_DYSFUNCTION"", ""warnings"": """", ""zscore_cate"": ""26.809835167980804"", ""zscore_normalized_cate"": ""26.809835167980555""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_GLOBAL_SEVERITY,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.0022657666329843396"", ""permuted_mean_cate_std"": ""0.004833529322194771"", ""permuted_mean_normalized_cate_mean"": ""-0.01875562912811135"", ""permuted_mean_normalized_cate_std"": ""0.04001113001983327"", ""real_mean_cate"": ""0.0621006181800848"", ""real_mean_normalized_cate"": ""0.514058308678501"", ""seed"": ""42"", ""snr_cate"": ""12.475885460851865"", ""snr_normalized_cate"": ""12.475885460851803"", ""treatment"": ""LAT_GLOBAL_SEVERITY"", ""warnings"": """", ""zscore_cate"": ""13.3166430826248"", ""zscore_normalized_cate"": ""13.316643082624752""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_RESPIRATORY_FAILURE,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.00047687712898102"", ""permuted_mean_cate_std"": ""0.002830634594153273"", ""permuted_mean_normalized_cate_mean"": ""-0.00394750740903357"", ""permuted_mean_normalized_cate_std"": ""0.023431509614568313"", ""real_mean_cate"": ""0.036133320420856"", ""real_mean_normalized_cate"": ""0.2991054538075482"", ""seed"": ""42"", ""snr_cate"": ""15.38733804467795"", ""snr_normalized_cate"": ""15.387338044677781"", ""treatment"": ""LAT_RESPIRATORY_FAILURE"", ""warnings"": """", ""zscore_cate"": ""12.933565365680208"", ""zscore_normalized_cate"": ""12.933565365680133""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_NEUROLOGIC_DYSFUNCTION,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.00081556712405441"", ""permuted_mean_cate_std"": ""0.0030714007844260985"", ""permuted_mean_normalized_cate_mean"": ""-0.00675112533001577"", ""permuted_mean_normalized_cate_std"": ""0.025424531007684006"", ""real_mean_cate"": ""0.0342527115180433"", ""real_mean_normalized_cate"": ""0.2835380945735039"", ""seed"": ""42"", ""snr_cate"": ""13.252747271050914"", ""snr_normalized_cate"": ""13.252747271050751"", ""treatment"": ""LAT_NEUROLOGIC_DYSFUNCTION"", ""warnings"": """", ""zscore_cate"": ""11.417682387761172"", ""zscore_normalized_cate"": ""11.417682387761099""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_SHOCK,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.0007012871575576999"", ""permuted_mean_cate_std"": ""0.0037611037352692817"", ""permuted_mean_normalized_cate_mean"": ""-0.005805135289742731"", ""permuted_mean_normalized_cate_std"": ""0.031133774213168243"", ""real_mean_cate"": ""0.0209943268190484"", ""real_mean_normalized_cate"": ""0.1737874509581732"", ""seed"": ""42"", ""snr_cate"": ""7.437945357830691"", ""snr_normalized_cate"": ""7.4379453578306105"", ""treatment"": ""LAT_SHOCK"", ""warnings"": """", ""zscore_cate"": ""5.768416800940156"", ""zscore_normalized_cate"": ""5.768416800940118""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_METABOLIC_DERANGEMENT,treatment,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""treatment"", ""permuted_mean_cate_mean"": ""-0.0011919685359136"", ""permuted_mean_cate_std"": ""0.002504233794111822"", ""permuted_mean_normalized_cate_mean"": ""-0.00986691191692907"", ""permuted_mean_normalized_cate_std"": ""0.020729619550703866"", ""real_mean_cate"": ""0.0197429534543554"", ""real_mean_normalized_cate"": ""0.1634287960167043"", ""seed"": ""42"", ""snr_cate"": ""8.909208022432704"", ""snr_normalized_cate"": ""8.909208022432594"", ""treatment"": ""LAT_METABOLIC_DERANGEMENT"", ""warnings"": """", ""zscore_cate"": ""8.359811308150643"", ""zscore_normalized_cate"": ""8.359811308150572""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/treatment_permutation_results.csv,ce0cd0b1e1298dbc047a170bd076b61aeb63d4737ada5a4797b19f07362c3673,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_CARDIAC_STRAIN,outcome,10,42,,,,,"{""experiment_dir"": ""/truenas/home/kenzikob/causal-irregular-time-series/outputs-mimic-1/permutations_test"", ""model_type"": ""CausalForest"", ""num_trials"": ""10"", ""permutation_target"": ""outcome"", ""permuted_mean_cate_mean"": ""0.00250502312030169"", ""permuted_mean_cate_std"": ""0.004509813073953475"", ""permuted_mean_normalized_cate_mean"": ""0.02183861960136823"", ""permuted_mean_normalized_cate_std"": ""0.03926346228407741"", ""real_mean_cate"": ""0.2203560383451443"", ""real_mean_normalized_cate"": ""1.824069642113907"", ""seed"": ""42"", ""snr_cate"": ""56.93415589253505"", ""snr_normalized_cate"": ""54.229932793331464"", ""treatment"": ""LAT_CARDIAC_STRAIN"", ""warnings"": """", ""zscore_cate"": ""48.30599664607963"", ""zscore_normalized_cate"": ""45.90097046136965""}",final-results/causal-outputs/outputs-mimic-forest/permutations_test/outcome_permutation_results.csv,7c66cd7f628b816dc1dd34b3d79d6ceeabd0e12daf92aa7253130d30dc0c0cc0,,,SOURCE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,NO_NEW_PVALUES,Archived aggregate permutation row copied.
