input_id,field,current_value,status,authoritative_provider,required_format,where_used,blocking_for_final_submission,safe_placeholder_policy,notes
ADM-001,official English title,"Provisional English working title is stored but not ratified or rendered on an official page.",PENDING_AUTHORITATIVE_INPUT,Author and supervisor,"Exact approved title",administrative_metadata.tex; current faculty title page,YES,"Keep centralized and non-rendered until ratified.","Do not infer official status from repository text."
ADM-002,official Hebrew title,"No authoritative value supplied.",PENDING_AUTHORITATIVE_INPUT,Author and supervisor/department,"Approved Hebrew title",administrative_metadata.tex; current faculty title page,YES,"Centralized non-rendered placeholder.","No translation is invented."
ADM-003,author full legal name,"No authoritative value supplied.",PENDING_AUTHORITATIVE_INPUT,Author,"Official legal name matching faculty record",administrative_metadata.tex; current faculty title/approval forms,YES,"Centralized non-rendered placeholder.","Not inferred from Git identity or directory name."
ADM-004,author identification number if required,"No value supplied and requirement depends on current form.",PENDING_CURRENT_FORM,Author and faculty,"Current faculty form requirement",current faculty title/approval forms,YES,"Do not add field until current form confirms requirement.","Do not infer whether this field is required."
ADM-005,department,"No authoritative wording supplied.",PENDING_AUTHORITATIVE_INPUT,Department/faculty,"Exact official English and Hebrew wording",administrative_metadata.tex; current faculty forms,YES,"Centralized non-rendered placeholder.","Not inferred from academic-directory context."
ADM-006,faculty,"No authoritative wording supplied.",PENDING_CURRENT_FORM,Faculty,"Exact current faculty wording",current faculty title/approval forms,YES,"Omit official page until form is supplied.","Local instructions identify a faculty forms system but not the current text."
ADM-007,degree,"No authoritative wording supplied.",PENDING_AUTHORITATIVE_INPUT,Department/faculty,"Exact degree wording",administrative_metadata.tex; current faculty forms,YES,"Centralized non-rendered placeholder.","Not inferred from the degree program directory."
ADM-008,supervisor name,"No authoritative value supplied.",PENDING_AUTHORITATIVE_INPUT,Supervisor/department,"Official name",administrative_metadata.tex; current faculty forms,YES,"Centralized non-rendered placeholder.","Not inferred from commits email or acknowledgements."
ADM-009,supervisor title,"No authoritative value supplied.",PENDING_AUTHORITATIVE_INPUT,Supervisor/department,"Current official title",administrative_metadata.tex; current faculty forms,YES,"Centralized non-rendered placeholder.","A title must be verified at submission time."
ADM-010,co-supervisor if applicable,"Applicability not supplied.",PENDING_CURRENT_FORM,Author and department,"Current form and appointment record",current faculty title/approval forms,YES,"Do not render an empty co-supervisor field.","May be not applicable after authority confirmation."
ADM-011,submission month,"No authoritative value supplied.",PENDING_AUTHORITATIVE_INPUT,Author/department,"Official submission month",administrative_metadata.tex; current faculty forms,YES,"Centralized non-rendered placeholder.","Not inferred from build date."
ADM-012,submission year,"No authoritative value supplied.",PENDING_AUTHORITATIVE_INPUT,Author/department,"Official submission year",administrative_metadata.tex; current faculty forms,YES,"Centralized non-rendered placeholder.","Not inferred from repository history."
ADM-013,committee or approval text,"No current authoritative text supplied.",PENDING_CURRENT_FORM,Department/faculty,"Verbatim current authorized form text",current approval page,YES,"Do not reconstruct approval language.","Approval page is intentionally not rendered."
ADM-014,English-thesis authorization,"No departmental authorization record supplied.",PENDING_AUTHORITATIVE_INPUT,Departmental teaching committee/department,"Written departmental authorization",submission packet; language decision,YES,"English draft remains explicitly qualified.","Hebrew abstract is present but does not prove authorization."
ADM-015,institutional ethics wording,"No project-specific wording supplied.",PENDING_AUTHORITATIVE_INPUT,Institutional ethics/IRB authority,"Exact determination wording",submission packet; ethics statement if required,YES,"Use the reader-facing evidence boundary only; add determination only after receipt.","No approval or exemption is inferred."
ADM-016,approval or exemption number,"No authoritative number supplied.",PENDING_AUTHORITATIVE_INPUT,Institutional ethics/IRB authority,"Exact identifier if applicable",official ethics statement/form,YES,"Do not render a number.","Repository silence is not an exemption determination."
ADM-017,consent or waiver wording,"No authoritative wording supplied.",PENDING_AUTHORITATIVE_INPUT,Institutional ethics/IRB authority,"Exact consent/waiver determination",official ethics statement/form,YES,"Do not render a claim.","Dataset access does not establish consent status."
ADM-018,data-use agreement wording,"No project-specific agreement text supplied.",PENDING_AUTHORITATIVE_INPUT,Dataset/data-governance authority,"Exact applicable agreement wording",official ethics/governance statement,YES,"Do not render a project agreement claim.","MIMIC dataset context is not this project's agreement record."
ADM-019,acknowledgements,"No author-approved text supplied; file remains omitted.",PENDING_AUTHOR_DECISION,Author,"Author-approved prose",frontmatter/acknowledgements.tex; document sequence,NO,"Omit until supplied.","Not evidence of absent supervision or oversight."
ADM-020,current official title-page form,"Not available locally.",PENDING_CURRENT_FORM,Faculty/department,"Current official form file",title page sequence and metadata,YES,"Do not reconstruct from examples.","Local PDF directs users to forms but does not supply current form."
ADM-021,current official approval-page form,"Not available locally.",PENDING_CURRENT_FORM,Faculty/department,"Current official form file",approval page sequence and wording,YES,"Do not reconstruct from examples.","No blank approval page is rendered."
ADM-022,privacy or governance statement,"Only the repository evidence boundary is available.",PENDING_AUTHORITATIVE_INPUT,Institutional data-governance authority,"Approved submission wording if required",ethics/governance section and official forms,YES,"Retain bounded wording; do not state governance completion.","No privacy-risk measurement is claimed."
