requirement_id,requirement_category,requirement_text,authoritative_source,source_page_or_location,locally_checkable,current_implementation,evidence,status,repair_required,external_input_required,responsible_owner,notes
BGU-5.4-001,page_size,A4 paper is required,thesis-writing/general-instructions.pdf,p.2 sec.5(1),YES,"report class uses a4paper","main.tex line 1; pdfinfo: 595.28 x 841.89 pt (A4)",COMPLIANT,NO,NO,Thesis maintainer,"PDF is A4."
BGU-5.4-002,line_spacing,Line spacing must be between 1.5 and 2,thesis-writing/general-instructions.pdf,p.2 sec.5(2),YES,"\onehalfspacing","main.tex lines 8-9",COMPLIANT,NO,NO,Thesis maintainer,"One-and-a-half spacing is within the stated range."
BGU-5.4-003,margins,Margins must be at least 1 cm on every side,thesis-writing/general-instructions.pdf,p.2 sec.5(4),YES,"2 cm geometry margin","main.tex line 7; nominal text block 170 mm by 257 mm",COMPLIANT,NO,NO,Thesis maintainer,"Configured margin exceeds the minimum."
BGU-5.4-004,page_number_position,Page number must be centered at the top,thesis-writing/general-instructions.pdf,p.2 sec.5(5),YES,"fancyhdr center header on normal and plain pages","main.tex lines 16-24; rendered pages 1-10 and 76-109",COMPLIANT,NO,NO,Thesis maintainer,"Visual inspection confirmed centered top numbers."
BGU-5.4-005,front_matter_numbering,Abstract/front matter must use Roman or Hebrew-letter numbering,thesis-writing/general-instructions.pdf,p.2 sec.5(5),YES,"Roman numbering begins before the Hebrew abstract","main.tex lines 47-53; rendered pages i-xii",COMPLIANT,NO,NO,Thesis maintainer,"Title/approval pages are intentionally omitted pending forms."
BGU-5.4-006,body_numbering,Thesis body must use Arabic numbering,thesis-writing/general-instructions.pdf,p.2 sec.5(5),YES,"Arabic numbering starts before Chapter 1","main.tex line 60; rendered Chapter 1 starts at page 1",COMPLIANT,NO,NO,Thesis maintainer,"Verified in rendered PDF."
BGU-5.4-007,heading_numbering,Chapters and subchapters require a hierarchical numbering system,thesis-writing/general-instructions.pdf,p.2 sec.5(6),YES,"report hierarchy with secnumdepth 2","main.tex lines 36-37; rendered TOC and Chapters 1-12",COMPLIANT,NO,NO,Thesis maintainer,"Chapter.section.subsection numbering is rendered."
BGU-5.4-008,figures_tables,Figures and tables must follow accepted standards and be separately numbered,thesis-writing/general-instructions.pdf,p.2 sec.5(10),YES,"LaTeX figure/table counters with separate lists","rendered List of Figures and List of Tables; Chapters 4-11",COMPLIANT,NO,NO,Thesis maintainer,"No counter collision observed."
BGU-5.4-009,figure_quality,Figures must be of high quality,thesis-writing/general-instructions.pdf,p.2 sec.5(7),PARTLY,"Five frozen PNG figures are embedded","stage_5_2_figure_validation.csv; final render; initial/final figure hashes",COMPLIANT_WITH_QUALIFICATION,NO,NO,Thesis maintainer,"This stage preserved the previously validated five figures; no image was modified."
BGU-5.4-010,abstract_format,Hebrew and English abstracts must have the same format,thesis-writing/general-instructions.pdf,p.2 sec.5(12a),YES,"Parallel four-paragraph abstracts","frontmatter/abstract_secondary.tex and abstract_primary.tex; stage_5_1_abstract_equivalence.csv",COMPLIANT,NO,NO,Thesis maintainer,"Both are uncited, footnote-free, and factual counterparts."
BGU-5.4-011,abstract_length,Each abstract must not exceed 500 words,thesis-writing/general-instructions.pdf,p.2 sec.5(12b),YES,"English and Hebrew abstracts are below the limit","Stage 5.4 word-count audit: English 347; Hebrew 306 tokenized words",COMPLIANT,NO,NO,Thesis maintainer,"Counts use the documented source-text tokenizer and are both below 500."
BGU-5.4-012,hebrew_abstract,An English thesis requires a Hebrew abstract,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a),YES,"Hebrew abstract renders first","main.tex lines 47-49; rendered PDF page i",COMPLIANT_WITH_QUALIFICATION,NO,YES,Department,"The abstract is present; authorization for English thesis remains external."
BGU-5.4-013,english_abstract,English abstract is required with the default Hebrew thesis and is present in the current English draft,thesis-writing/general-instructions.pdf,p.1 sec.12.a.2(a); p.3 sec.19,YES,"English abstract renders after Hebrew abstract","main.tex lines 47-51; rendered PDF page ii",COMPLIANT_WITH_QUALIFICATION,NO,YES,Department,"Exact final placement for an English thesis needs current-form confirmation."
BGU-5.4-014,keywords,10-15 keywords or key phrases must follow the abstract,thesis-writing/general-instructions.pdf,p.3 sec.15,YES,"15 English and 15 Hebrew semicolon-delimited keyword phrases","frontmatter/keywords.tex; rendered PDF page iii",COMPLIANT,NO,NO,Thesis maintainer,"Bilingual concepts align one-to-one; Latin terms are explicitly LTR in Hebrew."
BGU-5.4-015,toc_depth,TOC must include chapters sections and subsections,thesis-writing/general-instructions.pdf,p.2 sec.5(13),YES,"tocdepth 2","main.tex line 36; rendered PDF pages iv-vii",COMPLIANT,NO,NO,Thesis maintainer,"Rendered TOC includes levels 1, 1.1, and 1.1.1."
BGU-5.4-016,nomenclature,A list of terms or symbols is required when needed,thesis-writing/general-instructions.pdf,p.2 sec.5(14),YES,"Abbreviations and Notation and Symbols are included","frontmatter/nomenclature.tex; rendered PDF pages viii-ix",COMPLIANT,NO,NO,Thesis maintainer,"Both lists are populated."
BGU-5.4-017,list_of_figures,List of figures must be present in the prescribed sequence,thesis-writing/general-instructions.pdf,p.3 sec.19(h),YES,"\listoffigures","main.tex lines 55-57; rendered PDF pages x-xi",COMPLIANT,NO,NO,Thesis maintainer,"Included before the body."
BGU-5.4-018,list_of_tables,List of tables must be present in the prescribed sequence,thesis-writing/general-instructions.pdf,p.3 sec.19(h),YES,"\listoftables","main.tex lines 55-59; rendered PDF page xii",COMPLIANT,NO,NO,Thesis maintainer,"Included before the body."
BGU-5.4-019,bibliography_placement,Bibliography must appear after appendices,thesis-writing/general-instructions.pdf,p.3 sec.19(l),YES,"printbibliography follows appendix input","main.tex lines 75-78; rendered PDF pages 94-97",COMPLIANT,NO,NO,Thesis maintainer,"Appendix A ends before Bibliography."
