source_id,short_name,title,authors,year,doi,stable_url,pdf_url_or_route,access_status,proposed_filename,classification,support_scope,important_limitation,missing_ids
S01,SOFA,"The SOFA (Sepsis-related Organ Failure Assessment) score to describe organ dysfunction/failure","Vincent JL; Moreno R; Takala J; et al.",1996,10.1007/BF01709751,https://link.springer.com/article/10.1007/BF01709751,https://link.springer.com/content/pdf/10.1007/BF01709751.pdf,"official metadata/page; PDF not automatically retrieved",vincent_1996_sofa.pdf,"original-source candidate; independent verification","multi-organ dysfunction domains and SOFA concept","does not validate the exact local composite or all substituted thresholds","M-PDF-01;M-PRX-05;M-PRX-07"
S02,Berlin ARDS,"Acute Respiratory Distress Syndrome: The Berlin Definition","ARDS Definition Task Force",2012,10.1001/jama.2012.5669,https://jamanetwork.com/journals/jama/fullarticle/1160659,https://jamanetwork.com/journals/jama/articlepdf/1160659/jsc120003_2526_2533.pdf,"official article/PDF routes; PDF not automatically retrieved",ards_definition_task_force_2012_berlin_definition.pdf,"original-source candidate; independent verification","PaO2/FiO2 severity categories under ventilatory conditions","does not validate the full respiratory proxy","M-PDF-01;M-PRX-05;M-PRX-07"
S03,KDIGO AKI,"KDIGO Clinical Practice Guideline for Acute Kidney Injury","KDIGO Acute Kidney Injury Work Group",2012,,https://kdigo.org/guidelines/acute-kidney-injury/,https://kdigo.org/wp-content/uploads/2016/10/KDIGO-2012-AKI-Guideline-English.pdf,"open official PDF",kdigo_2012_aki_guideline.pdf,"original-source candidate; independent verification","creatinine-change and urine-output AKI criteria","does not validate the complete local renal score","M-PRX-05;M-PRX-07"
S04,Sepsis-3,"The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3)","Singer M; Deutschman CS; Seymour CW; et al.",2016,10.1001/jama.2016.0287,https://pmc.ncbi.nlm.nih.gov/articles/PMC4968574/,https://jamanetwork.com/journals/jama/articlepdf/2492881/jsc160002.pdf,"open full text",singer_2016_sepsis3.pdf,"original-source candidate; independent verification","sepsis organ dysfunction; qSOFA; septic-shock vasopressor/lactate criteria","does not validate every inflammation/shock scoring clause","M-PRX-05;M-PRX-07;M-DAG-03"
S05,ISTH DIC,"Towards definition, clinical and laboratory criteria, and a scoring system for disseminated intravascular coagulation","Taylor FB Jr; Toh CH; Hoots WK; Wada H; Levi M",2001,10.1055/s-0037-1616068,https://pubmed.ncbi.nlm.nih.gov/11816725/,,"authoritative metadata; open PDF not confirmed",taylor_2001_isth_dic_score.pdf,"original-source candidate; independent verification","DIC scoring concept and coagulation laboratory domains","does not validate mixed hepatic/coagulation or platelet/HCT/WBC local composites","M-PRX-05;M-PRX-07"
S06,GCS,"Assessment of coma and impaired consciousness: a practical scale","Teasdale G; Jennett B",1974,10.1016/S0140-6736(74)91639-0,https://pubmed.ncbi.nlm.nih.gov/4136544/,,"authoritative metadata; open PDF not confirmed",teasdale_jennett_1974_glasgow_coma_scale.pdf,"new independent-verification source","structured assessment of impaired consciousness","does not validate RASS/pupil/electrolyte/gas clauses or exact neuro-proxy threshold","M-PRX-05;M-PRX-07"
S07,Fourth UDMI,"Fourth Universal Definition of Myocardial Infarction (2018)","Thygesen K; Alpert JS; Jaffe AS; et al.",2018,10.1161/CIR.0000000000000617,https://www.ahajournals.org/doi/10.1161/CIR.0000000000000617,https://www.ahajournals.org/doi/pdf/10.1161/CIR.0000000000000617,"free official page; automated PDF retrieval failed",thygesen_2018_fourth_universal_definition_mi.pdf,"new independent-verification source","myocardial injury and assay-specific 99th-percentile troponin principle","fixed local troponin cutoffs require assay-specific evidence","M-PRX-05;M-PRX-07"
S08,Troponin in sepsis ICU,"Raised cardiac troponin in intensive care patients with sepsis, in the absence of angiographically documented coronary artery disease: a systematic review","Zochios V; Valchanov K",2015,,https://pmc.ncbi.nlm.nih.gov/articles/PMC5593290/,,"open full text",zochios_valchanov_troponin_sepsis_review.pdf,"new independent-verification source","critical-illness/sepsis troponin mechanisms and adverse prognosis","does not establish a universal cutoff or all cardiac-proxy clauses","M-PRX-05;M-PRX-07;M-DAG-03"
S09,Electrolytes ICU,"Fluid and Electrolyte Disturbances in Critically Ill Patients","Lee JW",2010,,https://pmc.ncbi.nlm.nih.gov/articles/PMC3043756/,,"open full text",lee_2010_fluid_electrolyte_disturbances_icu.pdf,"new independent-verification source","clinical importance of electrolyte and acid-base derangement in ICU","does not validate the exact multi-domain score or cutoffs","M-PRX-05;M-PRX-07"
S10,Informative ICU missingness,"A New Insight Into Missing Data in Intensive Care Unit Patient Profiles: Observational Study","Sharafoddini A; Dubin JA; Maslove DM; Lee J",2019,10.2196/11605,https://medinform.jmir.org/2019/1/e11605/,https://medinform.jmir.org/2019/1/e11605/PDF,"open access",sharafoddini_2019_informative_missingness_icu.pdf,"new independent-verification source","missingness/measurement presence reflects health state and care process; predicts mortality","does not prove every final DAG direction","M-DAG-03"
S11,Informative presence review,"Informative presence and observation in routine health data: a review of methodology for clinical risk prediction","Sisk R; Sperrin M; Peek N; et al.",2021,10.1093/jamia/ocaa242,https://academic.oup.com/jamia/article/28/1/155/5961436,,"open full text",sisk_2021_informative_presence_observation.pdf,"new independent-verification source","measurement timing/frequency/intensity can reflect evolving health state","does not prove dataset-specific directed edges","M-DAG-03"
