environment_id,workflow_family,dataset,run_family,environment_source,python_version,package_versions,operating_system,cpu,ram,gpu,cuda,timestamp,evidence_class,producing_environment_supported,missing_fields,notes
ENV-PREDICTIVE-TRAIN,predictive training,Both,five model families,Archived STraTS log.txt,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,device(type=cuda) recorded; model unknown,CUDA availability inferred from device string only,May 2026 log timestamps,LOG_RECORDED,NO,"Python, packages, OS, CPU, RAM, GPU model, CUDA version","Logs provide invocation arguments and CUDA device type, not a complete producing environment."
ENV-PREDICTIVE-EXPORT,prediction export,Both,five model families,Archived STraTS log.txt,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,device(type=cuda) recorded; model unknown,CUDA availability inferred from device string only,May 2026 log timestamps,LOG_RECORDED,NO,"Python, packages, OS, CPU, RAM, GPU model, CUDA version",Export-only invocations record max_epochs=0 and no portable environment manifest.
ENV-PROXY,proxy construction,Both,rule tagging,Current causal requirements/source,CURRENT_ENVIRONMENT_NOT_CAPTURED,INTENDED_REQUIREMENTS_ONLY,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,INTENDED_REQUIREMENTS_ONLY,NO,"Historical interpreter, packages, hardware",Current requirements are not producing-environment proof.
ENV-AGGREGATION,aggregation,Both,majority vote,Causal run_summary.json interpreter path,Environment name thesis310 only,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,May 2026 run-summary timestamps,RUN_SUMMARY_RECORDED,NO,"Python version, packages, OS, CPU, RAM, GPU/CUDA","Absolute interpreter path is historical metadata, not a portable capture."
ENV-MATCHING,matching,Both,all causal runs,Causal run_summary.json interpreter path,Environment name thesis310 only,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,May 2026 run-summary timestamps,RUN_SUMMARY_RECORDED,NO,"Python version, packages, OS, CPU, RAM, GPU/CUDA",All matching stage commands and status are archived.
ENV-CAUSAL-FOREST,CausalForestDML,Both,four causal runs,Causal run_summary.json interpreter path,Environment name thesis310 only,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,May 2026 run-summary timestamps,RUN_SUMMARY_RECORDED,NO,"Python version, EconML/scikit-learn versions, hardware",Command record is exact; package environment is not.
ENV-LINEAR-DML,LinearDML,Both,four causal runs,Causal run_summary.json interpreter path,Environment name thesis310 only,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,May 2026 run-summary timestamps,RUN_SUMMARY_RECORDED,NO,"Python version, EconML/scikit-learn versions, hardware",Command record is exact; package environment is not.
ENV-CAUSAL-PFN,CausalPFN,Both,four causal runs,Causal run_summary.json interpreter path,Environment name thesis310 only,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,May 2026 run-summary timestamps,RUN_SUMMARY_RECORDED,NO,"Python version, CausalPFN version, packages, hardware",No producing CausalPFN version is recorded.
ENV-FIGURES,figure generation,Both,five thesis figures,Stage 5.2 evidence report,Python 3.10.20 for DAG recreation; Python 3.12.3 for isolated result recreation,Matplotlib/NumPy/NetworkX/Pillow versions recorded in Stage 5.2,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,Stage 5.2 audit,CURRENT_SOURCE_REPRODUCTION,NO,Historical producer environment and hardware,Current source reproduction is explicitly not historical-production proof.
ENV-THESIS-BUILD,thesis build,N/A,current Stage 5.3 build,To be recorded in Stage 5.3 evidence report,CURRENT_SOURCE_ONLY,CURRENT_SOURCE_ONLY,CURRENT_SOURCE_ONLY,CURRENT_SOURCE_ONLY,CURRENT_SOURCE_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,To be recorded after build,CURRENT_SOURCE_ONLY,NO,Historical thesis-producing environment,Current build only validates current sources.
