term_id,canonical_term,variants_found,files,approved_variant,repair_required,repair_count,meaning_preserved,notes
TERM-01,proxy state,proxy state (24); proxy states (35); Proxy states (1); Proxy States (2); proxy-state (103); Proxy-State (5); Proxy-state (17); proxy-states (11),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/04_data_preprocessing.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/administrative_metadata.tex; thesis-writing/thesis/frontmatter/keywords.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,proxy state,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-02,proxy-state exposure,proxy-state exposure (12); Proxy-state exposure (10); proxy-state exposures (12),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,proxy-state exposure,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-03,proxy-state label,proxy-state labels (3),thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/09_experimental_design.tex,proxy-state label,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-04,clinically inspired proxy state,clinically inspired proxy state (1); clinically inspired proxy states (2),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/11_discussion.tex,clinically inspired proxy state,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-05,rule-derived label,rule-derived label (2); rule-derived labels (12); rule-derived proxy label (5); rule-derived proxy labels (1),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex,rule-derived label,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-06,algorithmic majority vote,majority vote (3); majority voting (3); Majority voting (2),thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex,algorithmic majority vote,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-07,original cohort,Original cohort (3); original cohorts (5); original-cohort (21); Original-cohort (6),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex,original cohort,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-08,outcome-downsampled cohort,Outcome-downsampled cohort (1); outcome-downsampled cohorts (2),thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/09_experimental_design.tex,outcome-downsampled cohort,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-09,in-hospital mortality,in-hospital mortality (11); In-hospital mortality (1),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/04_data_preprocessing.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,in-hospital mortality,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-10,MIMIC-III,MIMIC-III (62); mimic-iii (1),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/04_data_preprocessing.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/abstract_secondary.tex; thesis-writing/thesis/frontmatter/keywords.tex,MIMIC-III,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-11,PhysioNet 2012,PhysioNet 2012 (35),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/04_data_preprocessing.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/abstract_secondary.tex; thesis-writing/thesis/frontmatter/keywords.tex,PhysioNet 2012,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-12,STraTS,STraTS (47); strats (18),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/04_data_preprocessing.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,STraTS,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-13,GRU,GRU (18); gru (4),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,GRU,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-14,GRU-D,GRU-D (21),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,GRU-D,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-15,TCN,TCN (17); tcn (4),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/06_predictive_modeling.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,TCN,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-17,CausalForestDML,CausalForestDML (38),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/abstract_secondary.tex,CausalForestDML,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-18,LinearDML,LinearDML (32),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/abstract_secondary.tex,LinearDML,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-19,CausalPFN,CausalPFN (43),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/09_experimental_design.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/abstract_secondary.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,CausalPFN,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-20,directed acyclic graph,Directed Acyclic Graph (1); directed acyclic graph (1); directed acyclic graphs (4),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/keywords.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,directed acyclic graph,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-21,DAG,DAG (61); dag (5); DAGs (29); dags (1),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/02_background_related_work.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/05_proxy_state_construction.tex; thesis-writing/thesis/chapters/07_causal_methodology.tex; thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex; thesis-writing/thesis/frontmatter/abstract_secondary.tex; thesis-writing/thesis/frontmatter/administrative_metadata.tex; thesis-writing/thesis/frontmatter/nomenclature.tex,DAG,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-22,mean model-estimated CATE,mean model-estimated CATE (12),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex,mean model-estimated CATE,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-23,descriptive matched-pair outcome difference,descriptive matched-pair outcome difference (5); descriptive matched-pair outcome differences (1),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/frontmatter/abstract_primary.tex,descriptive matched-pair outcome difference,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-24,directional concordance,Directional concordance (1); directional concordance (2),thesis-writing/thesis/chapters/10_results.tex; thesis-writing/thesis/chapters/11_discussion.tex,directional concordance,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
TERM-25,observational adjusted estimate,adjusted effect estimates (1); adjusted estimates (4); Adjusted estimates (1),thesis-writing/thesis/chapters/01_introduction.tex; thesis-writing/thesis/chapters/03_problem_definition_study_design.tex; thesis-writing/thesis/chapters/11_discussion.tex; thesis-writing/thesis/chapters/12_conclusions_future_work.tex,observational adjusted estimate,NO,0,YES,Plural and code-context variants retained where grammatically or technically required.
