question_or_contribution,Chapter 1 wording,methods coverage,results evidence,discussion answer,conclusion coverage,abstract coverage,status,action
MAIN_RQ,"How can irregular ICU time-series data be converted into clinically interpretable proxy-state representations and used, under explicit causal assumptions, to support DAG-guided adjusted effect estimation for in-hospital mortality?","Chapters 3--9 specify the complete data, proxy, prediction, aggregation, DAG, estimation, and diagnostic workflow.","Chapter 10 reports the checked predictive, cohort, matching, multi-estimator, sensitivity, permutation, and downsampling evidence.","Chapter 11 answers the question as a feasible evidence-tracked retrospective workflow subject to proxy, graph, intervention, overlap, confounding, and provenance limits.","Chapter 12 retains the integration contribution and all limitations that materially qualify the answer.","Both abstracts state the same objective, workflow, evidence boundary, findings, and limitations.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-1,"Which data contracts are needed to connect PhysioNet 2012, MIMIC-III, the irregular-time-series prediction workflow, and the causal-analysis pipeline?","Chapters 3, 4, 6, and 9 define dataset-specific records, targets, exports, and analysis-row contracts.","Chapter 10 reports dataset-specific cohort and model-result rows under the normalized evidence contract.","Chapter 11 identifies explicit interfaces and remaining export/provenance constraints.","Chapter 12 retains the shared-interface contribution and clean-checkout limitation.","The workflow and evidence-tracking boundary are present in both abstracts.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-2,"Can rule-based proxy states be constructed consistently enough to serve as prediction labels and causal-pipeline inputs?","Chapters 3--5 define rule-derived proxy labels, five families, aggregation, and negative boundaries.","Chapter 10 reports five-family prediction evidence and checked exposure-specific analyses without treating proxies as diagnoses.","Chapter 11 answers conditionally: the constructs support this analytical workflow but lack independent clinical validation.","Chapter 12 preserves the need for clinician review and phenotype validation.","Both abstracts call the states clinically inspired rule-derived analytical constructs rather than diagnoses.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-3,"How do STraTS and the included sequence-model baselines perform on multi-label proxy-state prediction across MIMIC-III and PhysioNet?","Chapter 6 defines STraTS, GRU, GRU-D, TCN, and SAnD evaluation under a shared multi-label contract.","Chapter 10 gives all checked AUROC/AUPRC rows and the dataset-specific STraTS/GRU-D leaders.","Chapter 11 interprets the dataset-dependent pattern without universal-superiority claims.","Chapter 12 summarizes the cross-dataset predictive contribution with target-validity limits.","Both abstracts identify five model families and the dataset-specific leaders without extra precision.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-4,"How are predicted proxy states normalized and aggregated before downstream analysis?","Chapters 5--7 distinguish probabilities, thresholded labels, deterministic aggregation, and causal exposure inputs.","Chapter 10 uses the checked normalized result-source contract and does not substitute an unverified export lineage claim.","Chapter 11 treats normalization and aggregation as inspectable interfaces, not clinical consensus.","Chapter 12 retains the shared proxy-state interface and provenance limitation.","Both abstracts describe normalization/aggregation and preserve the algorithmic-not-clinical boundary.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-5,"What observed adjustment sets are selected by the dataset-specific, project-specified DAGs for proxy-state exposure analyses?","Chapter 7 documents both project-authored DAGs and exposure-specific adjustment logic; Chapter 9 fixes the analysis matrix.","Chapter 10 retains every prespecified dataset-specific exposure and reports graph-guided adjusted analyses.","Chapter 11 states that the graphs encode specified assumptions and were neither learned from data nor clinically validated.","Chapter 12 preserves graph-review and causal-identification requirements.","Both abstracts state the project-specified DAG boundary and absence of clinical validation.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-6,"What matching, model-estimated CATE, sensitivity, and permutation evidence is available for the prespecified proxy-state exposures?","Chapters 7--9 specify matching, primary CausalForestDML, secondary LinearDML, exploratory CausalPFN, sensitivity, permutation, and downsampling roles.","Chapter 10 reports all prespecified exposures, matching successes/failures, exact estimator tables, diagnostics, and directional summaries.","Chapter 11 interprets matching descriptively and estimator agreement as triangulation rather than validation.","Chapter 12 retains the frozen estimator/population hierarchy and its uncertainty limits.","Both abstracts report 9/9, 9/10, negative shock, 19/19, 18/19, exploratory CausalPFN, and descriptive matching equivalently.",SUPPORTED_WITH_QUALIFICATION,RETAIN
SRQ-7,"What limitations follow from proxy labels, intervention definition, overlap, measurement error, model dependence, provenance, and unmeasured confounding?","Chapters 3, 5, 7--9 state the estimands, assumptions, diagnostics, and reproducibility boundaries.","Chapter 10 makes failures, weak matching, estimator disagreement, and robustness populations visible.","Chapter 11 gives a direct evidence-bounded answer across every named limitation category.","Chapter 12 carries forward clinical, causal, diagnostic, and reproducibility limitations and future work.","Both abstracts state observational, proxy, DAG, clinical/deployment, and rerun-provenance limits.",SUPPORTED_WITH_QUALIFICATION,RETAIN
CONTRIBUTION-1_END_TO_END_FRAMEWORK,"End-to-end methodological framework linking preprocessing, proxy construction, prediction, aggregation, graph, estimation, and diagnostics.","Chapters 3--9 implement and document every interface.","Chapter 10 supplies the checked empirical record across all layers.","Chapter 11 evaluates the integrated workflow as the primary contribution.","Chapter 12 names integration rather than component-method invention as the contribution.","Both abstracts state the integrated framework objective and contribution.",SUPPORTED_WITH_QUALIFICATION,RETAIN
CONTRIBUTION-2_SHARED_PROXY_INTERFACE,"Shared proxy-state interface spanning rule labels, predictions, aggregation, and exposure analysis.","Chapters 4--7 define the common constructs and transitions.","Chapter 10 reports predictive labels and exposure-specific analyses under that interface.","Chapter 11 explains the interface value and clinical-validity boundary.","Chapter 12 retains the interface contribution and proxy-validation need.","Both abstracts describe the same proxy-state boundary.",SUPPORTED_WITH_QUALIFICATION,RETAIN
