table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-forest-physionet,LAT_RENAL_DYSFUNCTION,prevalence,checked_cate_candidates.csv:treatment_rate,0.230,0.230,YES,
tab:results-forest-physionet,LAT_RENAL_DYSFUNCTION,mean_cate,checked_cate_candidates.csv:mean_cate,0.120,0.120,YES,
tab:results-forest-physionet,LAT_RENAL_DYSFUNCTION,adjustment_code,checked_cate_candidates.csv:observed_confounders + chapter code mapping,P1,P1,YES,"ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CARDIAC_INJURY_STRAIN, LAT_INFLAMMATION_SEPSIS_BURDEN, LAT_SHOCK"
tab:results-forest-physionet,LAT_RENAL_DYSFUNCTION,status,checked_cate_candidates.csv:identifiable_with_available_nodes,Identifiability unresolved,Identifiability unresolved,YES,
tab:results-forest-physionet,LAT_CARDIAC_INJURY_STRAIN,prevalence,checked_cate_candidates.csv:treatment_rate,0.355,0.355,YES,
tab:results-forest-physionet,LAT_CARDIAC_INJURY_STRAIN,mean_cate,checked_cate_candidates.csv:mean_cate,0.112,0.112,YES,
tab:results-forest-physionet,LAT_CARDIAC_INJURY_STRAIN,adjustment_code,checked_cate_candidates.csv:observed_confounders + chapter code mapping,P2,P2,YES,"ICUType_1, ICUType_2, ICUType_3, ICUType_4"
tab:results-forest-physionet,LAT_CARDIAC_INJURY_STRAIN,status,checked_cate_candidates.csv:identifiable_with_available_nodes,Identifiability unresolved,Identifiability unresolved,YES,
tab:results-forest-physionet,LAT_GLOBAL_SEVERITY,prevalence,checked_cate_candidates.csv:treatment_rate,0.777,0.777,YES,
tab:results-forest-physionet,LAT_GLOBAL_SEVERITY,mean_cate,checked_cate_candidates.csv:mean_cate,0.108,0.108,YES,
tab:results-forest-physionet,LAT_GLOBAL_SEVERITY,adjustment_code,checked_cate_candidates.csv:observed_confounders + chapter code mapping,P3,P3,YES,"Age, Gender, ICUType_1, ICUType_2, ICUType_3, ICUType_4, LAT_CHRONIC_BASELINE_RISK, LAT_INFLAMMATION_SEPSIS_BURDEN, Weight"
