source_id,title,authors,year,doi,stable_url,local_pdf_path,full_text_locally_available,source_origin,original_chatgpt_dataset,original_chatgpt_response_locator,phase2_manifest_status,intended_support_role,independent_verification_status,notes
O_SOFA_MSD,Sequential Organ Failure Assessment (SOFA) score table,MSD Manuals,,,https://www.msdmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score,,No,ORIGINAL_CHATGPT_SOURCE_CONFIRMED,MIMIC-III; PhysioNet 2012,"mimic-prompt-running.pdf pp. 19, 24, 28; physionet-prompt-running.pdf pp. 20, 23-31, 44",Direct final-export link; not a Phase 2 manifest record,Original family-level clinical rationale for SOFA-like organ domains,NOT VERIFIED — FULL TEXT UNAVAILABLE,"The export supplied an MSD derivative table, not the original 1996 paper."
O_BERLIN_MSD,Berlin Definition of ARDS table,MSD Manuals,,,https://www.msdmanuals.com/professional/multimedia/table/berlin-definition-of-ards,,No,ORIGINAL_CHATGPT_SOURCE_CONFIRMED,MIMIC-III,"mimic-prompt-running.pdf p. 26, respiratory-failure rationale",Direct final-export link; not a Phase 2 manifest record,Original proxy-family rationale for oxygenation thresholds,NOT VERIFIED — FULL TEXT UNAVAILABLE,The original mapping is to the MSD table; the Berlin paper was inspected later.
O_KDIGO_MSD,Staging criteria for acute kidney injury (KDIGO 2012) table,MSD Manuals,2012,,https://www.msdmanuals.com/professional/multimedia/table/staging-criteria-for-acute-kidney-injury-kdigo-2012,,No,ORIGINAL_CHATGPT_SOURCE_CONFIRMED,MIMIC-III,"mimic-prompt-running.pdf pp. 19, 27, renal-dysfunction rationale",Direct final-export link; related to Phase 2 S03,Original proxy-family rationale for creatinine and urine-output criteria,NOT VERIFIED — FULL TEXT UNAVAILABLE,The original mapping is to the MSD table; the KDIGO guideline was inspected later.
O_SEPSIS3,The Third International Consensus Definitions for Sepsis and Septic Shock (Sepsis-3),Singer M; Deutschman CS; Seymour CW; et al.,2016,10.1001/jama.2016.0287,https://pmc.ncbi.nlm.nih.gov/articles/PMC4968574/,thesis-writing/literature/papers/clinical_sepsis3_singer_et_al_2016.pdf,Yes,ORIGINAL_CHATGPT_SOURCE_CONFIRMED,MIMIC-III; PhysioNet 2012,"mimic-prompt-running.pdf pp. 19, 25; physionet-prompt-running.pdf pp. 20, 30",Phase 2 S04; local corpus record,"Original family-level rationale for sepsis-like burden, organ dysfunction and shock","VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","Inspected local full text, PDF p. 1 (journal p. 801) and definitions section; it does not validate either local composite."
O_SISK2021,Informative presence and observation in routine health data: a review of methodology for clinical risk prediction,Sisk R; Sperrin M; Peek N; et al.,2021,10.1093/jamia/ocaa242,https://academic.oup.com/jamia/article/28/1/155/5961436,,No,ORIGINAL_CHATGPT_SOURCE_FAMILY_LEVEL,MIMIC-III,"mimic-prompt-running.pdf p. 36, missingness discussion",Phase 2 S11; no local PDF,Original family-level source for informative observation and monitoring intensity,NOT VERIFIED — FULL TEXT UNAVAILABLE,Link is preserved in the final export; full text was not locally available for this build.
O_JMIR2025,JMIR Medical Informatics article e79307 (title/authors not recoverable from local metadata),,2025,,https://medinform.jmir.org/2025/1/e79307,,No,ORIGINAL_CHATGPT_SOURCE_FAMILY_LEVEL,PhysioNet 2012,"physionet-prompt-running.pdf pp. 16, 38, missingness discussion",Direct final-export link; not a Phase 2 manifest record,Original family-level source for care-generated informative missingness,NOT VERIFIED — FULL TEXT UNAVAILABLE,No outside metadata resolution was performed.
O_DAG_PRIMER,Causal-DAG document hosted by Oxford Research Archive (metadata not recoverable locally),,,,https://ora.ox.ac.uk/objects/uuid%3A36b9a9af-309a-4dc8-943c-64287a72702a/files/m33f79696823b697eb8c57db1364b021a,,No,ORIGINAL_CHATGPT_SOURCE_UNMAPPED,PhysioNet 2012,"physionet-prompt-running.pdf pp. 38-39, general DAG/backdoor discussion",Direct final-export link; not a Phase 2 manifest record,"General DAG/confounder/mediator/collider rationale, not clinical edge support",NOT VERIFIED — FULL TEXT UNAVAILABLE,Not mapped to any particular implemented edge.
V_SOFA1996,The SOFA (Sepsis-related Organ Failure Assessment) score to describe organ dysfunction/failure,Vincent JL; Moreno R; Takala J; et al.,1996,10.1007/BF01709751,https://link.springer.com/article/10.1007/BF01709751,thesis-writing/advisor/41786868.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S01; local PDF later supplied,Independent verification of SOFA organ domains and their published thresholds,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF",Inspected pp. 1-4; Table 3 on PDF p. 2. Not part of the preserved original ChatGPT source link.
V_BERLIN2012,Acute Respiratory Distress Syndrome: The Berlin Definition,ARDS Definition Task Force,2012,10.1001/jama.2012.5669,https://jamanetwork.com/journals/jama/fullarticle/1160659,thesis-writing/advisor/4.-acute-respiratory-distress-syndromethe-berlin-definition.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S02; local PDF later supplied,"Independent verification of ARDS timing, imaging, edema-exclusion, PEEP and P/F criteria","VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF",Inspected PDF pp. 4-6; the CliniCause respiratory proxy omits several Berlin requirements.
V_KDIGO2012,KDIGO Clinical Practice Guideline for Acute Kidney Injury,KDIGO Acute Kidney Injury Work Group,2012,,https://kdigo.org/guidelines/acute-kidney-injury/,thesis-writing/literature/papers/clinical_kdigo_acute_kidney_injury_2012.pdf,Yes,NEW_INDEPENDENT_VERIFICATION_SOURCE,,,Phase 2 S03; local corpus record,Independent verification of AKI creatinine-change and urine-output criteria,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","Inspected PDF p. 11, section 2.1 and Table 2; the local renal composites add non-KDIGO clauses."
