artifact_id,artifact_path,artifact_role,exists,sha256_recorded,sha256_actual,hash_match,source_record,selection_status,thesis_usage,consistency_status,blocking_issue,notes
ART-00001,final-results/AGENTS.md,archived_source,TRUE,b2ba09c5c04b3813290566de5a9d621d559358b084c9f65125d8e34cbe0e10a9,b2ba09c5c04b3813290566de5a9d621d559358b084c9f65125d8e34cbe0e10a9,TRUE,results_manifest.csv,NOT_APPLICABLE,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_DOCUMENTATION
ART-00002,final-results/causal-outputs/AGENTS.md,archived_source,TRUE,f301b01c1b068bf3fea6ec23d98eb6f448e04ccba1e2bda1f5cc1265dca88f6a,f301b01c1b068bf3fea6ec23d98eb6f448e04ccba1e2bda1f5cc1265dca88f6a,TRUE,results_manifest.csv,NOT_APPLICABLE,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_DOCUMENTATION
ART-00003,final-results/causal-outputs/SCRIPTS.md,archived_source,TRUE,735e794f9c00d851704c15cfe798501e6cf1465e79be9eec16a4dd392210ed6d,735e794f9c00d851704c15cfe798501e6cf1465e79be9eec16a4dd392210ed6d,TRUE,results_manifest.csv,NOT_APPLICABLE,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_DOCUMENTATION
ART-00004,final-results/causal-outputs/cate_cross_run_cate_vs_matching.csv,archived_source,TRUE,6dff6904f61bd325e1b1728afca15db342c1ae57b7611d9d61624a549477e062,6dff6904f61bd325e1b1728afca15db342c1ae57b7611d9d61624a549477e062,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00005,final-results/causal-outputs/cate_cross_run_comparison_report.docx,archived_source,TRUE,ac7aaba9bb264edf2fa47e4e53496389d98eae7d7b766a7edb7982f1f6660b39,ac7aaba9bb264edf2fa47e4e53496389d98eae7d7b766a7edb7982f1f6660b39,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00006,final-results/causal-outputs/cate_cross_run_comparison_report.md,archived_source,TRUE,b119952b95688e2eae66126435683168be8e68fdd6f0d473ceb4023d8a122fd8,b119952b95688e2eae66126435683168be8e68fdd6f0d473ceb4023d8a122fd8,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00007,final-results/causal-outputs/cate_cross_run_inventory.csv,archived_source,TRUE,18e2b46408458e7643849c8ce6f87aabac962ec85e3570ff7c9b9332237adad6,18e2b46408458e7643849c8ce6f87aabac962ec85e3570ff7c9b9332237adad6,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00008,final-results/causal-outputs/cate_cross_run_matching_failures.csv,archived_source,TRUE,097b7d3002210059f335e7acf6a5439beaf62a2893154ec3ee35872eb4844fbf,097b7d3002210059f335e7acf6a5439beaf62a2893154ec3ee35872eb4844fbf,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00009,final-results/causal-outputs/cate_cross_run_matching_table.csv,archived_source,TRUE,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00010,final-results/causal-outputs/cate_cross_run_summary.csv,archived_source,TRUE,12d5c7c63d98193df438ab8470b2c817a55ffdc6d9a89b34029e440fb993b6f5,12d5c7c63d98193df438ab8470b2c817a55ffdc6d9a89b34029e440fb993b6f5,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00011,final-results/causal-outputs/cate_cross_run_unified_table.csv,archived_source,TRUE,bebb995b6cc65b9a35a8bbe43a61ccb16b7e7b9681219cf2fae04660bb7465bf,bebb995b6cc65b9a35a8bbe43a61ccb16b7e7b9681219cf2fae04660bb7465bf,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=ARTIFACT_SUPPORTED; execution_status=; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00012,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_benchmark_report.txt,archived_source,TRUE,629d6a474b8c9c5e75f2e952af55eeba63add69e858212c9ab9f6f00e94032ce,629d6a474b8c9c5e75f2e952af55eeba63add69e858212c9ab9f6f00e94032ce,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00013,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_benchmark_scores.csv,archived_source,TRUE,a60323adbee0b651a3d2cf305e3139f98b8f9b445e318279896f53fc10b2daae,a60323adbee0b651a3d2cf305e3139f98b8f9b445e318279896f53fc10b2daae,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00014,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,archived_source,TRUE,ac63b26bf7f66ba88ec99ff858e2eedba129919fd5b7f11954348ff660e31687,ac63b26bf7f66ba88ec99ff858e2eedba129919fd5b7f11954348ff660e31687,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00015,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_benchmark_report.txt,archived_source,TRUE,d9a8fb15cb41912a607d35f5bf8570669d603a8637f0ad51e325d90fee19f161,d9a8fb15cb41912a607d35f5bf8570669d603a8637f0ad51e325d90fee19f161,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00016,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_benchmark_scores.csv,archived_source,TRUE,36e598429a5ed10c908642ee36a3e70c13fc5d7b7efae58f512b5f9a1591ec09,36e598429a5ed10c908642ee36a3e70c13fc5d7b7efae58f512b5f9a1591ec09,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00017,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_sensitivity_contour.png,archived_source,TRUE,b187d391ecb64948d85aee2081f2c7048a922c3352284ef97c987a72429f0007,b187d391ecb64948d85aee2081f2c7048a922c3352284ef97c987a72429f0007,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00018,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_benchmark_report.txt,archived_source,TRUE,333ec3a7a9c3e2da32a55e90b51bf968f23792e82e0329234116a14f4f4d89d2,333ec3a7a9c3e2da32a55e90b51bf968f23792e82e0329234116a14f4f4d89d2,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
ART-00019,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_benchmark_scores.csv,archived_source,TRUE,141b0be2bbb0521910dfd2d29cdbe05f432b4e08978328a8b92b7b31d5a75565,141b0be2bbb0521910dfd2d29cdbe05f432b4e08978328a8b92b7b31d5a75565,TRUE,results_manifest.csv,ADMISSIBLE_WITH_QUALIFICATIONS,Chapter 10,PASS,,artifact_status=present; provenance_class=EXECUTION_SUPPORTED; execution_status=success; caveats=ARCHIVE_COPY_PROVENANCE_PARTIAL
