experiment_id,pipeline,dataset,task,model_or_estimator,sampling_condition,run_name,seed_or_run_index,train_fraction,input_sources,configuration_source,command_or_wrapper,output_directory,summary_artifact,log_artifact,implemented_status,execution_status,completion_status,result_status,provenance_status,thesis_candidate,notes
pred_physionet_strats,predictive,physionet_2012,latent_proxy_prediction,STraTS,not_applicable,finetune_strats,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh","final-results/strats-outputs/physionet_2012/strats/finetune_strats","final-results/strats-outputs/physionet_2012/strats/finetune_strats/training_summary.txt","final-results/strats-outputs/physionet_2012/strats/finetune_strats/log.txt",yes,yes,yes,yes,partial,yes,"Summary has validation/test metrics; checkpoint selection metric auprc + auroc; export file final-results/strats-outputs/predicted_physionet_latent_tags_strats.csv has 7993 data rows; archive copy provenance [PROVENANCE UNCLEAR]."
pred_physionet_gru,predictive,physionet_2012,latent_proxy_prediction,GRU,not_applicable,gru-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh","final-results/strats-outputs/physionet_2012/gru/gru-train_frac-0.5-run-1o10","final-results/strats-outputs/physionet_2012/gru/gru-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/physionet_2012/gru/gru-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_physionet_latent_tags_gru.csv has 7993 data rows; archive copy provenance [PROVENANCE UNCLEAR]."
pred_physionet_grud,predictive,physionet_2012,latent_proxy_prediction,GRU-D,not_applicable,grud-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh","final-results/strats-outputs/physionet_2012/grud/grud-train_frac-0.5-run-1o10","final-results/strats-outputs/physionet_2012/grud/grud-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/physionet_2012/grud/grud-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Log and summary agree on final validation/test metrics; export file final-results/strats-outputs/predicted_physionet_latent_tags_grud.csv has 7993 data rows."
pred_physionet_tcn,predictive,physionet_2012,latent_proxy_prediction,TCN,not_applicable,tcn-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh","final-results/strats-outputs/physionet_2012/tcn/tcn-train_frac-0.5-run-1o10","final-results/strats-outputs/physionet_2012/tcn/tcn-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/physionet_2012/tcn/tcn-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_physionet_latent_tags_tcn.csv has 7993 data rows."
pred_physionet_sand,predictive,physionet_2012,latent_proxy_prediction,SAnD,not_applicable,sand-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh","final-results/strats-outputs/physionet_2012/sand/sand-train_frac-0.5-run-1o10","final-results/strats-outputs/physionet_2012/sand/sand-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/physionet_2012/sand/sand-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_physionet_latent_tags_sand.csv has 7993 data rows."
pred_physionet_interpnet,predictive,physionet_2012,latent_proxy_prediction,InterpNet,not_applicable,interpnet expected,1o10,0.5,"processed STraTS data; latent labels","STraTS wrappers include InterpNet commands","STraTS/src/main.py via STraTS/run_main_rest.sh or equivalent",final-results/strats-outputs/physionet_2012/interpnet,[RESULT MISSING],[RESULT MISSING],yes,no,no,no,missing,no,"Model implemented and wrapper command present, but no final InterpNet folder, training_summary.txt, checkpoint, or predicted PhysioNet InterpNet CSV found."
pred_mimic_strats,predictive,mimic_iii,latent_proxy_prediction,STraTS,not_applicable,finetune_strats,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh or STraTS/run_main_mimic.sh","final-results/strats-outputs/mimic_iii/strats/finetune_strats","final-results/strats-outputs/mimic_iii/strats/finetune_strats/training_summary.txt","final-results/strats-outputs/mimic_iii/strats/finetune_strats/log.txt",yes,yes,yes,yes,partial,yes,"Summary has validation/test metrics; checkpoint selection metric auprc + auroc; export file final-results/strats-outputs/predicted_latent_tags_strats_mimic.csv has 26845 data rows."
pred_mimic_gru,predictive,mimic_iii,latent_proxy_prediction,GRU,not_applicable,gru-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh or STraTS/run_main_mimic.sh","final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10","final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_latent_tags_gru_mimic.csv has 26845 data rows."
pred_mimic_grud,predictive,mimic_iii,latent_proxy_prediction,GRU-D,not_applicable,grud-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh or STraTS/run_main_mimic.sh","final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10","final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_latent_tags_grud_mimic.csv has 26845 data rows."
pred_mimic_tcn,predictive,mimic_iii,latent_proxy_prediction,TCN,not_applicable,tcn-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh or STraTS/run_main_mimic.sh","final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10","final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_latent_tags_tcn_mimic.csv has 26845 data rows."
pred_mimic_sand,predictive,mimic_iii,latent_proxy_prediction,SAnD,not_applicable,sand-train_frac-0.5-run-1o10,1o10,0.5,"processed STraTS data; latent labels","training_summary.txt records /workspace output args","STraTS/src/main.py via STraTS/run_full_main.sh or STraTS/run_main_mimic.sh","final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10","final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10/training_summary.txt","final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10/log.txt",yes,yes,yes,yes,partial,yes,"Test metrics present; export file final-results/strats-outputs/predicted_latent_tags_sand_mimic.csv has 26845 data rows."
pred_mimic_interpnet,predictive,mimic_iii,latent_proxy_prediction,InterpNet,not_applicable,interpnet expected,1o10,0.5,"processed STraTS data; latent labels","STraTS wrappers include InterpNet commands","STraTS/src/main.py via STraTS/run_main_mimic.sh or equivalent",final-results/strats-outputs/mimic_iii/interpnet,[RESULT MISSING],[RESULT MISSING],yes,no,no,no,missing,no,"Model implemented and wrapper command present, but no final InterpNet folder, training_summary.txt, checkpoint, or predicted MIMIC InterpNet CSV found."
causal_mimic_forest_original,causal,mimic,effect_estimation,CausalForest,original,outputs-mimic-forest,not_applicable,not_applicable,"majority-vote tags; MIMIC processed pickle; MIMIC DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-mimic-forest","final-results/causal-outputs/outputs-mimic-forest/run_summary.json","final-results/causal-outputs/outputs-mimic-forest/logs/*.log",yes,yes,yes,yes,partial,yes,"Stages graph, majority_vote, mortality_prediction, matching, cate_estimation, analyze_cate_results, permutations_test all success; CATE rows 9; sensitivity/permutation present; config CSV [CONFIGURATION MISSING]."
causal_mimic_forest_downsample,causal,mimic,effect_estimation,CausalForest,downsampled,outputs-mimic-forest-downsample,not_applicable,not_applicable,"majority-vote tags; MIMIC processed pickle; MIMIC DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-2.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-mimic-forest-downsample","final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json","final-results/causal-outputs/outputs-mimic-forest-downsample/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 9; sensitivity/permutation present; downsample label from folder and cross-run tables; config CSV [CONFIGURATION MISSING]."
causal_mimic_linear_original,causal,mimic,effect_estimation,LinearDML,original,outputs-mimic-linear,not_applicable,not_applicable,"majority-vote tags; MIMIC processed pickle; MIMIC DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-3.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-mimic-linear","final-results/causal-outputs/outputs-mimic-linear/run_summary.json","final-results/causal-outputs/outputs-mimic-linear/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 9; sensitivity/permutation present; contains misleading duplicate manager file physionet_manager_global_summary.csv in MIMIC run."
causal_mimic_linear_downsample,causal,mimic,effect_estimation,LinearDML,downsampled,outputs-mimic-linear-downsample,not_applicable,not_applicable,"majority-vote tags; MIMIC processed pickle; MIMIC DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-4.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-mimic-linear-downsample","final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json","final-results/causal-outputs/outputs-mimic-linear-downsample/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 9; sensitivity/permutation present; config CSV [CONFIGURATION MISSING]."
causal_mimic_pfn_original,causal,mimic,effect_estimation,CausalPFN,original,outputs-mimic-pfn,not_applicable,not_applicable,"majority-vote tags; MIMIC processed pickle; MIMIC DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-5.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-mimic-pfn","final-results/causal-outputs/outputs-mimic-pfn/run_summary.json","final-results/causal-outputs/outputs-mimic-pfn/logs/*.log",yes,yes,partial,partial,partial,yes,"Graph, majority_vote, mortality_prediction, matching, and CATE success; analyze_cate_results and permutations_test intentionally skipped because MODEL_TYPE=CausalPFN; CATE rows 9."
causal_mimic_pfn_downsample,causal,mimic,effect_estimation,CausalPFN,downsampled,outputs-mimic-pfn-downsample,not_applicable,not_applicable,"majority-vote tags; MIMIC processed pickle; MIMIC DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-6.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-mimic-pfn-downsample","final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json","final-results/causal-outputs/outputs-mimic-pfn-downsample/logs/*.log",yes,yes,partial,partial,partial,yes,"Graph, majority_vote, mortality_prediction, matching, and CATE success; sensitivity/permutation intentionally skipped for PFN; CATE rows 9."
causal_physionet_forest_original,causal,physionet,effect_estimation,CausalForest,original,outputs-physionet-forest,not_applicable,not_applicable,"majority-vote tags; PhysioNet processed pickle; PhysioNet DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-1.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-physionet-forest","final-results/causal-outputs/outputs-physionet-forest/run_summary.json","final-results/causal-outputs/outputs-physionet-forest/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 10; sensitivity/permutation present; selected CATE summary file is physionet_global_summary.csv rather than global_summary.csv."
causal_physionet_forest_downsample,causal,physionet,effect_estimation,CausalForest,downsampled,outputs-physionet-forest-downsample,not_applicable,not_applicable,"majority-vote tags; PhysioNet processed pickle; PhysioNet DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-2.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-physionet-forest-downsample","final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json","final-results/causal-outputs/outputs-physionet-forest-downsample/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 10; sensitivity/permutation present; config CSV [CONFIGURATION MISSING]."
causal_physionet_linear_original,causal,physionet,effect_estimation,LinearDML,original,outputs-physionet-linear,not_applicable,not_applicable,"majority-vote tags; PhysioNet processed pickle; PhysioNet DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-3.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-physionet-linear","final-results/causal-outputs/outputs-physionet-linear/run_summary.json","final-results/causal-outputs/outputs-physionet-linear/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 10; sensitivity/permutation present; config CSV [CONFIGURATION MISSING]."
causal_physionet_linear_downsample,causal,physionet,effect_estimation,LinearDML,downsampled,outputs-physionet-linear-downsample,not_applicable,not_applicable,"majority-vote tags; PhysioNet processed pickle; PhysioNet DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-4.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-physionet-linear-downsample","final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json","final-results/causal-outputs/outputs-physionet-linear-downsample/logs/*.log",yes,yes,yes,yes,partial,yes,"All seven stages success; CATE rows 10; sensitivity/permutation present; config CSV [CONFIGURATION MISSING]."
causal_physionet_pfn_original,causal,physionet,effect_estimation,CausalPFN,original,outputs-physionet-pfn,not_applicable,not_applicable,"majority-vote tags; PhysioNet processed pickle; PhysioNet DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-5.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-physionet-pfn","final-results/causal-outputs/outputs-physionet-pfn/run_summary.json","final-results/causal-outputs/outputs-physionet-pfn/logs/*.log",yes,yes,partial,partial,partial,yes,"Graph, majority_vote, mortality_prediction, matching, and CATE success; analyze_cate_results and permutations_test intentionally skipped for PFN; CATE rows 10."
causal_physionet_pfn_downsample,causal,physionet,effect_estimation,CausalPFN,downsampled,outputs-physionet-pfn-downsample,not_applicable,not_applicable,"majority-vote tags; PhysioNet processed pickle; PhysioNet DAG","/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-6.csv","causal-irregular-time-series/main.py via run_summary.json","final-results/causal-outputs/outputs-physionet-pfn-downsample","final-results/causal-outputs/outputs-physionet-pfn-downsample/run_summary.json","final-results/causal-outputs/outputs-physionet-pfn-downsample/logs/*.log",yes,yes,partial,partial,partial,yes,"Graph, majority_vote, mortality_prediction, matching, and CATE success; sensitivity/permutation intentionally skipped for PFN; CATE rows 10."
