component_id,English_claim,Hebrew_claim,numbers,estimator_role,qualification,equivalent,evidence_source,repair_needed
BAE01_IRREGULAR_DATA,"Irregular ICU measurements and informative missingness motivate the framework.","מדידות טיפול נמרץ נאספות בזמנים ובתדירויות לא אחידים ודפוסי החסר עשויים לשקף את מצב המטופל ואת תהליך הטיפול.","NONE","NOT_APPLICABLE","The abstracts describe an analytical data problem, not a diagnosis.","YES","chapters/03_problem_definition_study_design.tex; chapters/05_proxy_state_construction.tex","NO"
BAE02_OBJECTIVE,"The objective is a transparent and traceable integrated workflow, not a validated clinical decision system or treatment recommendation.","המטרה היא לבחון את שילוב שלבי התהליך ומעבריהם, לא לספק תיקוף קליני, המלצת טיפול או מערכת להטמעה.","NONE","NOT_APPLICABLE","Methodological integration only.","YES","prompt.txt author-approved resolutions; stage_5_1_abstract_equivalence.csv AE01 and AE17","NO"
BAE03_DATASETS,"The framework was evaluated separately on PhysioNet 2012 and MIMIC-III.","המסגרת נבחנה בנפרד על PhysioNet 2012 ועל MIMIC-III.","2 datasets","NOT_APPLICABLE","Dataset results are not pooled.","YES","chapters/10_results.tex; stage_5_1_abstract_equivalence.csv AE02 and AE14","NO"
BAE04_LLM_DESIGN_ROLE,"At design time, an LLM assisted in proposing proxy ontologies, rule families, missingness considerations, and dataset-specific causal graphs.","בשלב התכנון מודל שפה גדול סייע בהצעת אונטולוגיות, משפחות כללים, התייחסויות לחסר וגרפים סיבתיים לכל מאגר.","NONE","NOT_APPLICABLE","The LLM supplied proposals rather than validated medical expertise.","YES","chapters/05_proxy_state_construction.tex; chapters/07_causal_methodology.tex","NO"
BAE05_DETERMINISTIC_RUNTIME_BOUNDARY,"Selected proposals were source-encoded deterministically, and the language model was not a runtime estimator.","הצעות שנבחרו קודדו ככללים וכגרפים דטרמיניסטיים, ומודל השפה לא שימש אומד בזמן הריצה.","NONE","NOT_APPLICABLE","Active source code, not the LLM, controls execution.","YES","chapters/05_proxy_state_construction.tex; chapters/07_causal_methodology.tex lines 6 and 10","NO"
BAE06_PREDICTIVE_FAMILIES,"Five predictive families were evaluated: STraTS, GRU, GRU-D, TCN, and SAnD.","חמש המשפחות שאומנו הן STraTS, GRU, GRU-D, TCN ו-SAnD.","5 families","STraTS; GRU; GRU-D; TCN; SAnD","Models predict rule-derived labels.","YES","chapters/06_predictive_modeling.tex; stage_5_1_abstract_equivalence.csv AE04","NO"
BAE07_AGGREGATE_LINEAGE,"The archived aggregate used one rule-derived source plus predicted labels from GRU, GRU-D, STraTS, and TCN.","האיגוד הסופי כלל מקור כללים אחד וארבעה מקורות חזויים של GRU, GRU-D, STraTS ו-TCN.","5 sources = 1 rule + 4 predicted","SAnD evaluated but not a voter","No Interpolation-Prediction Network claim is made.","YES","chapters/05_proxy_state_construction.tex line 217; chapters/06_predictive_modeling.tex line 97","NO"
BAE08_PROXY_DAG_BOUNDARIES,"Proxy states are not chart-adjudicated diagnoses; graphs were not learned from patient data or clinically validated.","מצבי-הפרוקסי אינם אבחנות שאומתו בתיקים, והגרפים לא נלמדו מנתוני מטופלים ולא תוקפו קלינית.","NONE","DAG-guided adjustment","The constructs and graphs remain assumptions.","YES","chapters/05_proxy_state_construction.tex; chapters/07_causal_methodology.tex line 6; stage_5_1_abstract_equivalence.csv AE05 and AE06","NO"
BAE09_PRIMARY_MIMIC,"All nine primary original-cohort MIMIC-III CausalForestDML estimates were positive.","בכל תשעת מצבי-הפרוקסי ב-MIMIC-III התקבל אומדן CausalForestDML ראשי חיובי.","9/9 positive","CausalForestDML primary","Mean model-estimated observational effects under assumptions.","YES","T-results-forest-mimic.csv; checked_cate_candidates.csv; chapters/10_results.tex; stage_5_1_abstract_equivalence.csv AE07","NO"
BAE10_PRIMARY_PHYSIONET,"Nine of ten primary PhysioNet estimates were positive, and shock was negative.","ב-PhysioNet תשעה מעשרה אומדנים היו חיוביים ואומדן ההלם היה שלילי.","9/10 positive; 1/10 negative","CausalForestDML primary","The negative shock estimate is not called protective.","YES","T-results-forest-physionet.csv; checked_cate_candidates.csv; chapters/10_results.tex; stage_5_1_abstract_equivalence.csv AE08 and AE09","NO"
