physical_page,printed_page,chapter_or_region,dpi_reviewed,page_specific_content,clipping,overlap,left_margin_intrusion,right_margin_intrusion,top_margin_intrusion,bottom_margin_intrusion,table_readability,caption_attachment,figure_layout,heading_layout,paragraph_spacing,rtl_ltr_quality,unintended_blank_page,warning_ids_on_page,required_action,page_specific_notes
1,unprinted/front matter,Abstract,300,Abstract: ‫‪i‬‬ [Hebrew/RTL],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-01; OVERFULL-02,NONE,Individually rendered and inspected at 300 DPI. Abstract: ‫‪i‬‬ [Hebrew/RTL] Warning localization: OVERFULL-01; OVERFULL-02.
2,ii,Abstract,300,Abstract: Abstract [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-03,NONE,Individually rendered and inspected at 300 DPI. Abstract: Abstract [prose/list] Warning localization: OVERFULL-03.
3,iii,Keywords,300,Keywords: Keywords [Hebrew/RTL],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Keywords: Keywords [Hebrew/RTL] Warning localization: None.
4,iv,Table of contents,300,Table of contents: Contents [Hebrew/RTL],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Table of contents: Contents [Hebrew/RTL] Warning localization: None.
5,v,Front matter or transition,300,"Front matter or transition: 2.4 Causal Diagrams, Identification, HTE, Overlap, and Sensitivity . . . . . . . . . 15 [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: 2.4 Causal Diagrams, Identification, HTE, Overlap, and Sensitivity . . . . . . . . . 15 [prose/list] Warning localization: None."
6,vi,Front matter or transition,300,Front matter or transition: 9 Experimental Design 60 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: 9 Experimental Design 60 [prose/list] Warning localization: None.
7,vii,Bibliography,300,Bibliography: 12.4 Future Work . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 91 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Bibliography: 12.4 Future Work . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 91 [prose/list] Warning localization: None.
8,viii,Abbreviations,300,Abbreviations: Abbreviations [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Abbreviations: Abbreviations [prose/list] Warning localization: None.
9,ix,Notation and symbols,300,Notation and symbols: Notation and Symbols [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Notation and symbols: Notation and Symbols [prose/list] Warning localization: None.
10,x,List of figures,300,List of figures: x [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. List of figures: x [prose/list] Warning localization: None.
11,xi,List of tables,300,List of tables: xi [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. List of tables: xi [prose/list] Warning localization: None.
