claim_id,file,section,claim_excerpt,claim_category,dataset_scope,required_evidence,available_evidence,support_status,wording_strength,repair_required,external_input_required,notes
EGA-001,thesis-writing/thesis/chapters/02_background_related_work.tex,2.1.2,"PhysioNet 2012 is a mortality-prediction challenge resource with a defined task setting.",dataset_context,PhysioNet 2012,"Approved dataset citation","silva2012physionet is cited and resolved in the local bibliography",SUPPORTED,DESCRIPTIVE,NO,NO,"This supports dataset context only; it is not project approval evidence."
EGA-002,thesis-writing/thesis/chapters/02_background_related_work.tex,2.1.3,"MIMIC-III is deidentified and available to qualified researchers subject to training and a data-use agreement.",dataset_access_context,MIMIC-III,"Approved dataset citation","johnson2016mimiciii is cited and resolved in the local bibliography",SUPPORTED,QUALIFIED_DESCRIPTIVE,NO,NO,"Dataset-level controlled-access context does not establish this project's access or institutional approval."
EGA-003,thesis-writing/thesis/chapters/04_data_preprocessing.tex,4.1 and 4.2,"Raw data snapshots and final processed artifacts are not tracked in the repository.",data_governance_boundary,Both,"Repository audit","Chapter 4 and reproducibility data-lineage records",SUPPORTED,NEGATIVE_BOUNDARY,NO,NO,"Absence of tracked artifacts is not presented as evidence of absent access authorization."
EGA-004,thesis-writing/thesis/chapters/04_data_preprocessing.tex,4.3,"Clean-checkout reproduction requires authorized data access.",access_boundary,Both,"Repository and dataset-access records","Chapter 4 states a conditional requirement; no project access record is claimed",SUPPORTED_WITH_QUALIFICATION,CAUTIOUS,NO,YES,"The statement does not assert that authorization was or was not obtained."
EGA-005,thesis-writing/thesis/chapters/03_problem_definition_study_design.tex,3.1 and 3.3,"The study is retrospective and observational; no intervention is assigned by this study.",study_design,Both,"Thesis design and repository methods","Source-defined analysis design and Chapter 3",SUPPORTED,DESCRIPTIVE,NO,NO,"No claim of prospective clinical research is made."
EGA-006,thesis-writing/thesis/chapters/03_problem_definition_study_design.tex,3.2,"Rule-derived proxy labels are not chart-adjudicated diagnoses or validated phenotypes.",clinical_validation_boundary,Both,"Chart-review or validation record to claim validation","Repository contains rule code and no chart-adjudication evidence",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,NO,"Appropriately distinguishes proxy constructs from diagnoses."
EGA-007,thesis-writing/thesis/frontmatter/abstract_primary.tex,Abstract,"The framework is not clinical validation treatment recommendation or deployment.",deployment_boundary,Both,"Prospective clinical validation safety and impact evidence to claim otherwise","Abstract and discussion explicitly deny those claims",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,NO,"Hebrew abstract carries the same boundary."
EGA-008,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,5.2-5.4,"Proxy rules are project-specific and lack complete qualified clinical review; voting is not clinical truth.",clinical_review_boundary,Both,"Qualified reviewer decision record and chart validation","Rule/code provenance plus documented absence of review record",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,YES,"Qualified clinical review remains a submission input and future-work gate."
EGA-009,thesis-writing/thesis/chapters/07_causal_methodology.tex,7.1-7.3,"Project DAGs were not learned from data and require domain-specific validation.",dag_validation_boundary,Both,"Qualified clinical/causal review record to claim approval","Source code defines DAGs; Chapters 7 and 11 state the limitation",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,YES,"Prompt material is treated as provenance rather than approval."
EGA-010,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,8.1-8.3,"Matching sensitivity and permutation checks do not establish positivity identification clinical validity or lack of bias.",methodological_risk_boundary,Both,"Dedicated diagnostics or validation evidence for stronger claims","Source and result records plus explicit negative language",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,NO,"No privacy or fairness metric is implied by these checks."
EGA-011,thesis-writing/thesis/chapters/11_discussion.tex,11.1.6,"LLM prompts are neither causal discovery nor clinical validation and do not provide authoritative clinical judgment.",llm_governance_boundary,Both,"Complete prompt-run and qualified human-review manifest to make stronger claim","Prompt artifacts and Chapter 11 provenance language",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,YES,"External assistant figure decisions are not described as Codex ethics or clinical approval."
EGA-012,thesis-writing/thesis/chapters/11_discussion.tex,11.2.4,"No prospective validation independent external clinical validation or formal transport analysis was performed.",clinical_validation_boundary,Both,"Prospective/external validation study artifacts","Explicit limitations; no conflicting claim found",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,NO,"No chart review is claimed anywhere in the thesis."
EGA-013,thesis-writing/thesis/chapters/11_discussion.tex,11.2.4 and 11.2.7,"No dedicated fairness audit was performed and subgroup performance/effect stability remain untested.",fairness_boundary,Both,"Prespecified subgroup/fairness evaluation artifacts","Discussion limitation and no subgroup audit in results package",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,NO,"Adjustment variables are not misrepresented as fairness validation."
EGA-014,thesis-writing/thesis/chapters/11_discussion.tex,11.2.7,"The repository does not establish project-specific approval consent/waiver data-use agreement or governance determination.",institutional_governance_boundary,Both,"Authoritative institutional approval consent data-use and governance records","No such records are present; explicit boundary added in Stage 5.4",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,YES,YES,"Repair: added exact evidence boundary; no approval status is inferred from silence."
EGA-015,thesis-writing/thesis/chapters/11_discussion.tex,11.2.7,"The system is not suitable for patient-level clinical deployment or treatment recommendation in its current form.",deployment_boundary,Both,"Prospective safety workflow impact and human-factors evidence to claim readiness","Discussion and abstract state the boundary",NEGATIVE_BOUNDARY_SUPPORTED,EXPLICIT_BOUNDARY,NO,NO,"No deployment authorization is claimed."
