run_id,dataset,estimator,sampling_condition,run_directory,run_summary,run_summary_sha256,recorded_command,command_status,recorded_config_path,config_basename,config_local_status,resolved_config_candidate,candidate_status,source_repository,source_version,source_version_status,graph_artifact,matching_artifact,cate_artifact,diagnostic_artifact,environment_artifact,archive_copy_status,lineage_completeness,blocking_gap,notes
CAUSAL-MIMIC-FOREST-ORIGINAL,MIMIC-III,CausalForestDML,original,final-results/causal-outputs/outputs-mimic-forest/,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,cc21ebe2464f65b91f8361f931444c60894adca7fb93b6f405832341dfda0af6,graph: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-mimic-forest/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-1.csv,mimic-global-variables-1.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/mimic-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-forest/matching/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-MIMIC-FOREST-OUTCOME_DOWNSAMPLED,MIMIC-III,CausalForestDML,outcome-downsampled,final-results/causal-outputs/outputs-mimic-forest-downsample/,final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json,1d8e397a8ecacaf870c17609663dd72e5f64e61c521a74537832127a1ed49176,graph: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-2.csv,mimic-global-variables-2.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/mimic-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-mimic-forest-downsample/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-forest-downsample/matching/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest-downsample/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest-downsample/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-MIMIC-LINEAR-ORIGINAL,MIMIC-III,LinearDML,original,final-results/causal-outputs/outputs-mimic-linear/,final-results/causal-outputs/outputs-mimic-linear/run_summary.json,db202117b7554ca976f7ac4dcbaee4087aad95ac458c55f781f577ae71f4a7f4,graph: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-mimic-linear/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-3.csv,mimic-global-variables-3.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/mimic-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-mimic-linear/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-linear/matching/global_summary.csv,final-results/causal-outputs/outputs-mimic-linear/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-linear/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-MIMIC-LINEAR-OUTCOME_DOWNSAMPLED,MIMIC-III,LinearDML,outcome-downsampled,final-results/causal-outputs/outputs-mimic-linear-downsample/,final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json,aff6c2fc9b9b67b280ec7c9d81086157561461af8a7eb251125464fda8391759,graph: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-mimic-linear-downsample/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-4.csv,mimic-global-variables-4.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/mimic-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-mimic-linear-downsample/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-linear-downsample/matching/global_summary.csv,final-results/causal-outputs/outputs-mimic-linear-downsample/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-linear-downsample/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-MIMIC-PFN-ORIGINAL,MIMIC-III,CausalPFN,original,final-results/causal-outputs/outputs-mimic-pfn/,final-results/causal-outputs/outputs-mimic-pfn/run_summary.json,18648efb0906f79f9fdf138e428d5a457fc619d9f035d9adb96b49a6c5350039,graph: exact argv array in final-results/causal-outputs/outputs-mimic-pfn/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-mimic-pfn/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-mimic-pfn/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-mimic-pfn/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-mimic-pfn/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-5.csv,mimic-global-variables-5.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/mimic-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-mimic-pfn/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-pfn/matching/global_summary.csv,final-results/causal-outputs/outputs-mimic-pfn/cate_estimation/global_summary.csv,NOT_APPLICABLE: analyze_cate_results and permutations_test intentionally skipped for CausalPFN,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.","graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=skipped; permutations_test=skipped. CausalPFN skips are explicitly recorded, not inferred. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived."
CAUSAL-MIMIC-PFN-OUTCOME_DOWNSAMPLED,MIMIC-III,CausalPFN,outcome-downsampled,final-results/causal-outputs/outputs-mimic-pfn-downsample/,final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json,3afd642df1957ed56a1deddf96e62c7e7e5f9e11993e89940f6244242f9c71fb,graph: exact argv array in final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-mimic-pfn-downsample/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/mimic-global-variables-6.csv,mimic-global-variables-6.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/mimic-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-mimic-pfn-downsample/graph/mimic_causal_dag.png,final-results/causal-outputs/outputs-mimic-pfn-downsample/matching/global_summary.csv,final-results/causal-outputs/outputs-mimic-pfn-downsample/cate_estimation/global_summary.csv,NOT_APPLICABLE: analyze_cate_results and permutations_test intentionally skipped for CausalPFN,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.","graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=skipped; permutations_test=skipped. CausalPFN skips are explicitly recorded, not inferred. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived."
CAUSAL-PHYSIONET-FOREST-ORIGINAL,PhysioNet 2012,CausalForestDML,original,final-results/causal-outputs/outputs-physionet-forest/,final-results/causal-outputs/outputs-physionet-forest/run_summary.json,75fda1c8cf93991ffe7fc42b7a9b180919bc75559cf887682e867e9d002118cf,graph: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-physionet-forest/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-1.csv,physionet-global-variables-1.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/physionet-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-physionet-forest/graph/physionet_causal_dag.png,final-results/causal-outputs/outputs-physionet-forest/matching/global_summary.csv,final-results/causal-outputs/outputs-physionet-forest/cate_estimation/physionet_global_summary.csv,final-results/causal-outputs/outputs-physionet-forest/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-PHYSIONET-FOREST-OUTCOME_DOWNSAMPLED,PhysioNet 2012,CausalForestDML,outcome-downsampled,final-results/causal-outputs/outputs-physionet-forest-downsample/,final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json,7a7a5b513d9fd71db970277b2f3c026ec020028f6eb0c553a2ac02b17e90cf0c,graph: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-physionet-forest-downsample/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-2.csv,physionet-global-variables-2.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/physionet-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-physionet-forest-downsample/graph/physionet_causal_dag.png,final-results/causal-outputs/outputs-physionet-forest-downsample/matching/global_summary.csv,final-results/causal-outputs/outputs-physionet-forest-downsample/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-physionet-forest-downsample/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-PHYSIONET-LINEAR-ORIGINAL,PhysioNet 2012,LinearDML,original,final-results/causal-outputs/outputs-physionet-linear/,final-results/causal-outputs/outputs-physionet-linear/run_summary.json,ddbf5e5b96b5ecfc29f77e9af82b1b6ae8853218f2a41170a83a75d915571614,graph: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-physionet-linear/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-3.csv,physionet-global-variables-3.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/physionet-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-physionet-linear/graph/physionet_causal_dag.png,final-results/causal-outputs/outputs-physionet-linear/matching/global_summary.csv,final-results/causal-outputs/outputs-physionet-linear/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-physionet-linear/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
CAUSAL-PHYSIONET-LINEAR-OUTCOME_DOWNSAMPLED,PhysioNet 2012,LinearDML,outcome-downsampled,final-results/causal-outputs/outputs-physionet-linear-downsample/,final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json,47bd79127af15adc410b65cc5ee6440e82af3204dd22d2a441be7cfdc69b0d1e,graph: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json; majority_vote: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json; mortality_prediction: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json; matching: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json; cate_estimation: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json; analyze_cate_results: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json; permutations_test: exact argv array in final-results/causal-outputs/outputs-physionet-linear-downsample/run_summary.json,RUN_SUMMARY_RECORDED,/truenas/home/kenzikob/causal-irregular-time-series/configs/physionet-global-variables-4.csv,physionet-global-variables-4.csv,MISSING_LOCAL_ARTIFACT,causal-irregular-time-series/configs/physionet-global-variables.csv,INFERRED_CANDIDATE_NOT_PROOF,causal-irregular-time-series,NOT_RECORDED,EXTERNAL_RECORD_REQUIRED,final-results/causal-outputs/outputs-physionet-linear-downsample/graph/physionet_causal_dag.png,final-results/causal-outputs/outputs-physionet-linear-downsample/matching/global_summary.csv,final-results/causal-outputs/outputs-physionet-linear-downsample/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-physionet-linear-downsample/analyze_cate_results/benchmark_summary.csv; permutations_test/,run_summary interpreter path /truenas/home/kenzikob/.conda/envs/thesis310/bin/python,PARTIAL_LINEAGE: archived output hashes are in results_manifest.csv; copy direction is unknown,PARTIAL_LINEAGE,"Exact numbered configuration, processed-input hash, producing source version, package environment, and copy direction are not locally recoverable.",graph=success; majority_vote=success; mortality_prediction=success; matching=success; cate_estimation=success; analyze_cate_results=success; permutations_test=success. All archived stages report success. Exposure coverage is represented by archived majority-vote/CATE outputs; no raw input hash is archived.
