numeric_id,file,line,excerpt,numeric_expression,normalized_value,classification,authoritative_source,exact_source_location,source_value,sampling_condition,estimator,dataset,status,required_action,notes
N0001,thesis-writing/thesis/main.tex,1,"\documentclass[a4paper,12pt,oneside]{report}",12,12,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,12,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0002,thesis-writing/thesis/main.tex,7,"\usepackage[margin=2cm,headheight=15pt]{geometry}",2,2,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,2,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0003,thesis-writing/thesis/main.tex,7,"\usepackage[margin=2cm,headheight=15pt]{geometry}",15,15,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,15,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0004,thesis-writing/thesis/main.tex,22,\renewcommand{\headrulewidth}{0pt},0,0,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0005,thesis-writing/thesis/main.tex,26,\renewcommand{\headrulewidth}{0pt},0,0,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,0,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0006,thesis-writing/thesis/main.tex,34,\newcommand{\HebrewTOC}[1]{\texthebrew{#1}},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0007,thesis-writing/thesis/main.tex,34,\newcommand{\HebrewTOC}[1]{\texthebrew{#1}},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0008,thesis-writing/thesis/main.tex,35,\pdfstringdefDisableCommands{\def\HebrewTOC#1{#1}},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0009,thesis-writing/thesis/main.tex,35,\pdfstringdefDisableCommands{\def\HebrewTOC#1{#1}},1,1,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,1,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0010,thesis-writing/thesis/main.tex,37,\setcounter{tocdepth}{2},2,2,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,2,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0011,thesis-writing/thesis/main.tex,38,\setcounter{secnumdepth}{2},2,2,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,2,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0012,thesis-writing/thesis/main.tex,66,\input{chapters/01_introduction},01,01,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,01,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
N0013,thesis-writing/thesis/main.tex,67,\input{chapters/02_background_related_work},02,02,ADMINISTRATIVE_TEXT,document metadata/layout,main.tex or administrative_metadata.tex,02,NOT_APPLICABLE,NOT_APPLICABLE,BOTH_OR_NOT_APPLICABLE,SOURCE_SUPPORTED,NONE,Not a scientific result.
