dataset,comparison,metric,value,units,population,source_path,source_columns,formula,rounding,paper_value,difference,admitted
mimic,CausalForestDML vs LinearDML,spearman_rho,0.983333333333333,correlation,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"Pearson correlation of ascending mean_cate ranks joined by treatment; no ties",15 decimals; thesis 3 decimals,contributes to displayed range 0.983--1.000,NA; paper reports range,yes
mimic,CausalForestDML vs CausalPFN,spearman_rho,1.000000000000000,correlation,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"Pearson correlation of ascending mean_cate ranks joined by treatment; no ties",15 decimals; thesis 3 decimals,contributes to displayed range 0.983--1.000,NA; paper reports range,yes
mimic,LinearDML vs CausalPFN,spearman_rho,0.983333333333333,correlation,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"Pearson correlation of ascending mean_cate ranks joined by treatment; no ties",15 decimals; thesis 3 decimals,contributes to displayed range 0.983--1.000,NA; paper reports range,yes
mimic,CausalForestDML vs LinearDML,rmse,1.348159856225453,percentage points,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"100*sqrt(mean((mean_cate_a-mean_cate_b)^2)) joined by treatment",15 decimals; thesis 2 decimals,contributes to displayed range 1.35--2.57,NA; paper reports range,yes
mimic,CausalForestDML vs CausalPFN,rmse,1.581648370527188,percentage points,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"100*sqrt(mean((mean_cate_a-mean_cate_b)^2)) joined by treatment",15 decimals; thesis 2 decimals,contributes to displayed range 1.35--2.57,NA; paper reports range,yes
mimic,LinearDML vs CausalPFN,rmse,2.573266321566426,percentage points,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"100*sqrt(mean((mean_cate_a-mean_cate_b)^2)) joined by treatment",15 decimals; thesis 2 decimals,contributes to displayed range 1.35--2.57,NA; paper reports range,yes
physionet,CausalForestDML vs LinearDML,spearman_rho,0.830303030303030,correlation,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"Pearson correlation of ascending mean_cate ranks joined by treatment; no ties",15 decimals; thesis 3 decimals,contributes to displayed range 0.794--0.964,NA; paper reports range,yes
physionet,CausalForestDML vs CausalPFN,spearman_rho,0.963636363636364,correlation,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"Pearson correlation of ascending mean_cate ranks joined by treatment; no ties",15 decimals; thesis 3 decimals,contributes to displayed range 0.794--0.964,NA; paper reports range,yes
physionet,LinearDML vs CausalPFN,spearman_rho,0.793939393939394,correlation,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"Pearson correlation of ascending mean_cate ranks joined by treatment; no ties",15 decimals; thesis 3 decimals,contributes to displayed range 0.794--0.964,NA; paper reports range,yes
physionet,CausalForestDML vs LinearDML,rmse,1.466655612668275,percentage points,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"100*sqrt(mean((mean_cate_a-mean_cate_b)^2)) joined by treatment",15 decimals; thesis 2 decimals,contributes to displayed range 1.08--2.04,NA; paper reports range,yes
physionet,CausalForestDML vs CausalPFN,rmse,1.081537455663345,percentage points,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"100*sqrt(mean((mean_cate_a-mean_cate_b)^2)) joined by treatment",15 decimals; thesis 2 decimals,contributes to displayed range 1.08--2.04,NA; paper reports range,yes
physionet,LinearDML vs CausalPFN,rmse,2.035048103464168,percentage points,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,"100*sqrt(mean((mean_cate_a-mean_cate_b)^2)) joined by treatment",15 decimals; thesis 2 decimals,contributes to displayed range 1.08--2.04,NA; paper reports range,yes
mimic,pairwise minimum,spearman_rho,0.983333333333333,correlation,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,minimum of three pairwise Spearman correlations,15 decimals; paper 3 decimals,0.983,0.000333333333333,yes
mimic,pairwise maximum,spearman_rho,1.000000000000000,correlation,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,maximum of three pairwise Spearman correlations,15 decimals; paper 3 decimals,1.000,0.000000000000000,yes
mimic,pairwise minimum,rmse,1.348159856225453,percentage points,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,minimum of three pairwise RMSE values in percentage points,15 decimals; paper 2 decimals,1.35,-0.001840143774547,yes
mimic,pairwise maximum,rmse,2.573266321566426,percentage points,"26845 original causal-analysis records; 9 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,maximum of three pairwise RMSE values in percentage points,15 decimals; paper 2 decimals,2.57,0.003266321566426,yes
physionet,pairwise minimum,spearman_rho,0.793939393939394,correlation,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,minimum of three pairwise Spearman correlations,15 decimals; paper 3 decimals,0.794,-0.000060606060606,yes
physionet,pairwise maximum,spearman_rho,0.963636363636364,correlation,"7993 original causal-analysis records; 10 exposures",thesis-writing/results/checked_cate_candidates.csv,dataset|estimator|sampling_condition|treatment|mean_cate,maximum of three pairwise Spearman correlations,15 decimals; paper 3 decimals,0.964,-0.000363636363636,yes
