physical_page,printed_page,document_region,primary_content,clipping,overlap,margin_intrusion,header_footer,heading_quality,paragraph_spacing,table_quality,figure_quality,rtl_ltr_quality,blank_page_status,required_action,notes
1,Reviewed in rendered PDF,Front matter,‫‪i‬‬,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
2,Reviewed in rendered PDF,Front matter,Abstract,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
3,Reviewed in rendered PDF,Front matter,Keywords,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
4,Reviewed in rendered PDF,Front matter lists,Contents,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
5,Reviewed in rendered PDF,Main matter,v,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
6,Reviewed in rendered PDF,Main matter,vi,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
7,Reviewed in rendered PDF,Bibliography,Bibliography 94,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
8,Reviewed in rendered PDF,Front matter reference,Abbreviations,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
9,Reviewed in rendered PDF,Front matter reference,Notation and Symbols,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
10,Reviewed in rendered PDF,Front matter lists,List of Figures,NO,NO,NO,PASS,PASS,PASS,PASS,PASS—frozen figure content not re-evaluated,PASS,NO UNINTENDED BLANK PAGE,NONE,Reviewed in complete low-resolution contact sheet; representative front-matter pages reviewed at full resolution.
