dataset,proxy_name,source_columns,aggregation_or_window,exact_rule,clinical_interpretation,current_implementation_path,implementation_locator,implementation_mode_status,original_chatgpt_source_ids,original_chatgpt_mapping_status,original_chatgpt_locator,support_paraphrase,doi_or_url,independent_verification_source_ids,verification_verdict,verification_locator,limitations
MIMIC-III,LAT_INFLAMMATION_SEPSIS,Temperature_min/max; WBC_min/max; Lactate_max; CultureOrdered_any; CulturePositive_any; SuspectedInfection_any; AntibioticStarted_any/Antibiotics_any,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,"Five indicators: temperature >=38.3 or <36; WBC >12 or <4; lactate >2; culture/suspected-infection; antibiotic/suspected-infection. Positive if score >=2 and a culture, antibiotic, temperature or WBC anchor is present.",Inflammation or suspected-infection/sepsis burden; not confirmed sepsis.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 588-616,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_SEPSIS3,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,"mimic-prompt-running.pdf pp. 19, 22-23","Sepsis-3 supports infection-related dysregulated host response and organ dysfunction, but not this five-clause score.",10.1001/jama.2016.0287,O_SEPSIS3,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF",Sepsis-3 local PDF p. 1 (journal p. 801) and definitions section,Temperature/WBC are nonspecific; treatment and culture fields encode clinician suspicion; the exact score is not validated.
MIMIC-III,LAT_GLOBAL_SEVERITY,MAP_min; SBP_min; Vasopressors_any; SpO2_min; PF_ratio_min; MechanicalVentilation_any; GCS_min; RASS_min/max; Creatinine_max; UrineOutput_sum_24h; Lactate_max; pH_min; Bicarbonate_min; Temperature_min/max; WBC_min/max; Bilirubin_max; Platelets_min; INR_max,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,"Seven Boolean domains (circulatory, respiratory, neurologic, renal, metabolic, inflammatory, hepatic/coagulation); positive if at least 3 domains are abnormal.",Multi-domain acute physiological severity.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 619-679,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_SOFA_MSD,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,mimic-prompt-running.pdf p. 24,"The original source presents SOFA organ domains. The original SOFA paper verifies six domains and daily worst values, not the local seven-domain Boolean composite.",https://www.msdmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score; 10.1007/BF01709751,V_SOFA1996,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","SOFA local PDF pp. 1-2, Table 3 on p. 2","Local substitutions, inflammatory domain and score >=3 are project choices; whole-record aggregation differs from daily SOFA scoring."
MIMIC-III,LAT_SHOCK,MAP_min; SBP_min; MAP_sustained_lt70_any; Vasopressors_any; Lactate_max; UrineOutput_sum_24h; UrineOutput_mlkg_6h_min; pH_min; BaseExcess_min,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,"Five indicators: hypotension (MAP <65, SBP <=90 or sustained MAP <70), vasopressor, lactate >2, oliguria (<0.5 mL/kg/h over 6h or <500 mL/24h), acidosis (pH <7.30 or base excess <=-5). Positive if score >=2, or vasopressor plus hypoperfusion/acidosis/hypotension.",Circulatory shock or clinically meaningful hemodynamic instability.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 682-710,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_SEPSIS3; O_SOFA_MSD,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,mimic-prompt-running.pdf pp. 24-25,Sepsis-3 supports vasopressor-dependent hypotension with lactate >2 for septic shock; it does not support the project's any-two composite.,10.1001/jama.2016.0287; https://www.msdmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score,O_SEPSIS3; V_SOFA1996,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","Sepsis-3 local PDF p. 1; SOFA local PDF p. 2, Table 3","Rule is broader than septic shock and mixes treatment, perfusion, urine and acid-base evidence."
MIMIC-III,LAT_RESPIRATORY_FAILURE,SpO2_min; PF_ratio_min; FiO2_max; MechanicalVentilation_any; NonInvasiveVentilation_any; RR_min/max; PaCO2_max; pH_min,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,"Five indicators: SpO2 <92; P/F <=300; respiratory support or FiO2 >=0.5; RR >=30 or <=8; PaCO2 >=50 with pH <7.30. Positive if score >=2, or support plus hypoxemia/PF/ventilatory failure.",Hypoxemic or ventilatory failure and/or substantial respiratory support.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 713-741,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_BERLIN_MSD,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,mimic-prompt-running.pdf p. 26,"Berlin supports P/F severity categories under PEEP/CPAP plus timing, imaging and edema-origin requirements; the project proxy is broader.",https://www.msdmanuals.com/professional/multimedia/table/berlin-definition-of-ards; 10.1001/jama.2012.5669,V_BERLIN2012; V_ESSAY2020,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF",Berlin local PDF pp. 4-6; Essay local PDF pp. 1-4,Not an ARDS diagnosis; several Berlin criteria are absent and ventilation may reflect treatment/case mix.
MIMIC-III,LAT_RENAL_DYSFUNCTION,Creatinine_max/delta; BUN_max; UrineOutput_sum_24h; UrineOutput_mlkg_6h_min; Potassium_max; Bicarbonate_min; DialysisOrCRRT_any,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,Five indicators: creatinine >=2 or rise >=0.3; BUN >=40; oliguria (<0.5 mL/kg/h over 6h or <500 mL/24h); K >=5.5 or HCO3 <18; dialysis. Positive if score >=2 or dialysis.,Acute or clinically important renal dysfunction.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 744-771,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_KDIGO_MSD,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,mimic-prompt-running.pdf p. 27,"KDIGO supports a >=0.3 mg/dL creatinine rise, baseline-relative changes and urine-output criteria; it does not validate this composite or BUN/electrolyte clauses.",https://www.msdmanuals.com/professional/multimedia/table/staging-criteria-for-acute-kidney-injury-kdigo-2012; https://kdigo.org/guidelines/acute-kidney-injury/,V_KDIGO2012,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","KDIGO local PDF p. 11, section 2.1 and Table 2","Baseline creatinine may be unavailable; absolute creatinine, BUN and metabolic additions are project choices."
MIMIC-III,LAT_HEPATIC_COAG_DYSFUNCTION,Bilirubin_max; AST_max; ALT_max; Platelets_min; INR_max; PTProlonged_any; PTTProlonged_any; Albumin_min/first,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,Five indicators: bilirubin >=2; AST or ALT >=120; platelets <100; INR >=1.5 or prolonged PT/PTT; albumin <2.5. Positive if score >=2.,Combined hepatic injury/reserve and coagulation dysfunction.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 774-798,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_SOFA_MSD,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,mimic-prompt-running.pdf p. 28,SOFA supports bilirubin and platelets as separate organ domains; ISTH DIC uses a different multi-test algorithm. Neither validates the combined local score.,https://www.msdmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score; 10.1007/BF01709751,V_SOFA1996; V_DIC2001,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","SOFA local PDF p. 2, Table 3; ISTH DIC local PDF p. 2, Table 2","Combines distinct constructs; anticoagulation, chronic liver disease, dilution and nutrition can trigger clauses."
MIMIC-III,LAT_NEUROLOGIC_DYSFUNCTION,GCS_min; GCSComponentAbnormal_any; RASS_min/max; PupilOrFocalNeuroAbnormal_any; SedationOrIntubation_any,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,"GCS <=8 contributes 2; else GCS <=13 contributes 1; abnormal GCS component, RASS <=-3 or >=2, and pupil/focal abnormality each contribute 1. Positive if score >=2; sedation/intubation with an isolated one-point score is forced negative.",Depressed consciousness or focal/behavioral neurological dysfunction.,causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 801-823,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",O_SOFA_MSD,"SOURCE PRESENT IN CHATGPT EXPORT, EXACT MAPPING NOT RECOVERABLE",mimic-prompt-running.pdf: SOFA source present; no proxy-specific source chip recovered,"SOFA uses GCS as its neurological domain, but does not support the RASS, focal-sign or sedation-exclusion composite.",10.1007/BF01709751,V_SOFA1996,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","SOFA local PDF p. 2, Table 3",Sedation/intubation can confound GCS/RASS; exact weighting and exclusions lack direct literature validation.
MIMIC-III,LAT_METABOLIC_DERANGEMENT,pH_min/max; Bicarbonate_min/max; BaseExcess_min; Lactate_max; Potassium_min/max; Sodium_min/max; Glucose_min/max,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,Six domains: pH <7.30 or >7.55; HCO3 <18 or >35 or base excess <=-5; lactate >2; K <3 or >=5.5; Na <130 or >150; glucose <70 or >250. Positive if at least 2 domains are abnormal.,"Acid-base, lactate, electrolyte or glucose derangement.",causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 826-873,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",,NO ORIGINAL CHATGPT SOURCE FOUND,No proxy-specific source mapped in preserved final export,No locally inspected paper validates the exact six-domain score.,,,NOT VERIFIED — NO SPECIFIC SOURCE MAPPED,,Broad construct is plausible but all cutoffs and the any-two combination remain unverified.
MIMIC-III,LAT_CARDIAC_STRAIN,TroponinPositive/AboveULN flags; TroponinT_max; TroponinI_max; CKMB_max/AboveULN; Arrhythmia_any; HR_min/max; MAP_min; SBP_min; FirstCareUnit; CardiacSurgeryContext_any,Whole available ICU record summaries; urine sum at 0-24h and minimum rolling 6h mL/kg/h; missing clauses do not fire.,Five indicators: troponin abnormal (or T >=0.1/I >=0.4 fallback); CK-MB abnormal; arrhythmia or HR >150/<40; HR >130 or <40 with hypotension; CCU/CSRU or cardiac-surgery context. Positive if score >=2 and troponin or rhythm anchor.,"Myocardial injury, rhythm instability or severe cardiac strain.",causal-irregular-time-series/src/tagging_latent_variables_mimiciii.py,lines 876-908,"Current default: canonical pickle; whole-record minima/maxima/first values and any-flags, except explicit first-24h and rolling-6h urine features. Summary-CSV and raw-concept modes also exist; historical producing input mode/revision not verified.",,NO ORIGINAL CHATGPT SOURCE FOUND,No proxy-specific source mapped in preserved final export,"Phase 2 identified myocardial-injury sources, but their full text was not locally available and they were not original ChatGPT sources.",10.1161/CIR.0000000000000617,V_UDMI2018; V_TROPONIN2015,NOT VERIFIED — FULL TEXT UNAVAILABLE,,"Assay-specific troponin thresholds, CK-MB >0, unit/care-context points and the composite are not verified."
PhysioNet 2012,LAT_GLOBAL_SEVERITY,MAP/NIMAP/SysABP/NISysABP_min; MechVent_max; PF_min or PaO2/FiO2 approximation; SaO2_min; RespRate_max; GCS_min; Creatinine/BUN_max; urine summary; Bilirubin_max; Platelets_min; Lactate_max; pH_min; HCO3_min; TropI/T_max; HR_max,Whole first-48h Challenge record; min/max/mean/first/last summaries; missing clauses do not fire.,"Seven domains (hemodynamic, respiratory, neurologic, renal, hepatic/coagulation, metabolic, cardiac). Positive if score >=3, or score >=2 plus lactate >=4, pH <7.20, ventilation, GCS <=8 or MAP <60.",Multi-domain first-48h acute physiological severity.,causal-irregular-time-series/src/tagging_latent_variables_physionet.py,lines 421-478,Current used mode: default thresholds (optimization excluded by project-owner clarification); whole first-48h record summarized by min/max/mean/first/last. Historical producing input artifact/revision not verified.,O_SOFA_MSD,CONFIRMED EXACT ORIGINAL CHATGPT MAPPING,"physionet-prompt-running.pdf pp. 20, 23","SOFA supports six organ domains and published ordinal thresholds, not the project's seven Boolean domains or critical override.",https://www.msdmanuals.com/professional/multimedia/table/sequential-organ-failure-assessment-sofa-score; 10.1007/BF01709751,V_SOFA1996,"VERIFIED — SUPPORTS THE BROAD CONSTRUCT, NOT THE EXACT CUTOFF","SOFA local PDF pp. 1-2, Table 3",Adds cardiac/metabolic substitutions and uses whole-48h summaries rather than daily SOFA scoring.
