citation_key,chapter,section,line_or_context,citation_command,catalog_tier,catalog_topic,source_role,pdf_status,claim_family,usage_assessment,required_action,notes
sun_2026_review_irregular_medical_timeseries,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 7,cite,core,irregular clinical time-series models,REVIEW_OR_SURVEY,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
lipton_kale_wetzel_2016_missingness_rnns,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 7,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
tipirneni2022strats,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 13,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
che2018grud,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 13,cite,core,irregular clinical time-series models,PRIMARY_METHOD,present,irregular clinical time-series models,SUPPORTED,None; citation is aligned to the stated source role.,
banda_2018_electronic_phenotyping,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 15,cite,core,clinical proxy phenotyping,REVIEW_OR_SURVEY,present,clinical proxy phenotyping,SUPPORTED,None; citation is aligned to the stated source role.,
ratner_et_al_2020_snorkel,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 15,cite,core,weak supervision,PRIMARY_METHOD,downloaded,weak supervision,SUPPORTED,None; citation is aligned to the stated source role.,
pearl_1995_causal_diagrams,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 17,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
hernan_robins_2016_target_trial,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 17,cite,core,causal identification and DAGs,PRIMARY_METHOD,present,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
hernan_taubman_2008_well_defined_interventions,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 17,cite,core,causal identification and DAGs,PRIMARY_METHOD,downloaded,causal identification and DAGs,SUPPORTED,None; citation is aligned to the stated source role.,
silva2012physionet,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 19,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
johnson2016mimiciii,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,line 19,cite,core,datasets and benchmarks,PRIMARY_DATASET,present,datasets and benchmarks,SUPPORTED,None; citation is aligned to the stated source role.,
chernozhukov2018dml,Chapter 1,Thesis Gap and Objective,line 26,cite,core,DML and causal forests,PRIMARY_METHOD,present,DML and causal forests,SUPPORTED,None; citation is aligned to the stated source role.,
