"claim_id","chapter12_section","line_or_excerpt","claim_type","claim_summary","authoritative_source","exact_source_location","numeric_expression","support_status","qualification_status","hierarchy_status","novelty_status","wording_risk","required_action","notes"
"C12-001","Summary of the Study","line 9: connecting irregular ICU time-series data to transparent retrospective analysis","RESEARCH_PROBLEM","The thesis addresses the problem of transparently connecting irregular ICU records to retrospective analysis.","Chapter 1; Chapter 11","01_introduction.tex, Thesis Gap and Objective, lines 28-34; 11_discussion.tex, Main Research Question, lines 14-18","Section ID C12.1 (comment-only; no result meaning)","SUPPORTED","NOT_REQUIRED","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Matches the approved integration-gap framing."
"C12-002","Summary of the Study","line 9: measurements are sparse, asynchronous, and shaped by the measurement process","RESEARCH_PROBLEM","Irregular ICU measurements are sparse and asynchronous, and observation patterns can carry care-process information.","Chapter 1; Chapter 11","01_introduction.tex, Motivation, lines 7-17; 11_discussion.tex, Construct and Measurement Validity, lines 120-124","","SUPPORTED","PRESENT","NOT_APPLICABLE","ALREADY_ESTABLISHED","LOW","RETAIN","The wording describes the data problem and does not make a local causal claim."
"C12-003","Summary of the Study","line 9: prediction and observational analysis can become disconnected","RESEARCH_PROBLEM","Hidden changes in labels, identifiers, preprocessing contracts, and interpretation can disconnect prediction from downstream analysis.","Chapter 1","01_introduction.tex, Thesis Gap and Objective, lines 28-36","","SUPPORTED","NOT_REQUIRED","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Restates the integration gap without claiming novelty for component methods."
"C12-004","Summary of the Study","line 9: workflow across PhysioNet 2012 and MIMIC-III","WORKFLOW","The implemented workflow spans dataset-specific preprocessing, proxy construction, prediction, normalization/aggregation, project DAGs, matching, heterogeneous-effect estimation, and diagnostics in both datasets.","Chapters 1 and 3-9; Chapter 11","01_introduction.tex lines 30-34 and 61-65; 11_discussion.tex, Main Research Question, line 16; method chapters 03-09 section openings and contracts","PhysioNet 2012; two named datasets (PhysioNet 2012 and MIMIC-III)","SUPPORTED","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Implementation and empirical exercise are supported; exact producing provenance remains separately qualified."
"C12-005","Summary of the Study","line 11: retrospective research workflow","NEGATIVE_BOUNDARY","The framework is a retrospective research workflow rather than a clinical deployment system.","Chapters 1 and 11","01_introduction.tex lines 30-32; 11_discussion.tex lines 18 and 176","","SUPPORTED","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Preserves the non-deployment boundary."
"C12-006","Summary of the Study","line 11: proxy states are rule-derived analytical constructs","NEGATIVE_BOUNDARY","Proxy states are analytical constructs rather than verified clinical conditions.","Chapters 1, 5, and 11","01_introduction.tex lines 13-17; 05_proxy_state_construction.tex, Rationale and Terminology, lines 13-17; 11_discussion.tex lines 36-39 and 117-124","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Uses the required proxy-state boundary and avoids diagnosis, ground-truth, or validated-phenotype language."
"C12-007","Summary of the Study","line 11: adjusted estimates remain conditional on stated assumptions","NEGATIVE_BOUNDARY","Adjusted estimates are conditional on measurement, graph, intervention-definition, temporal-ordering, support, and modeling assumptions.","Chapters 3, 7, and 11","03_problem_definition_study_design.tex lines 39-41; 07_causal_methodology.tex, Dataset-Specific DAGs and Identification Assumptions; 11_discussion.tex lines 18 and 126-140","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Does not imply that adjustment proves identification."
"C12-008","Summary of the Study","line 11: makes handoffs, evidence sources, and unresolved requirements visible","CONTRIBUTION","Visibility of analytical handoffs and evidence boundaries is central to the thesis contribution.","Chapters 1 and 11","01_introduction.tex lines 28-38 and 61-67; 11_discussion.tex lines 16-18 and 74-79","","SUPPORTED","NOT_REQUIRED","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","Consistent with the approved primary contribution."
"C12-009","Main Findings and Contributions","line 16: strongest contribution is the integrated, evidence-tracked connection","CONTRIBUTION","The strongest contribution is integrated, evidence-tracked connection across the workflow layers.","Chapter 1","01_introduction.tex, Research Questions and Contributions, lines 61-67 and Table tab:introduction-contributions","","SUPPORTED","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Preserves the Introduction's descending contribution hierarchy."
"C12-010","Main Findings and Contributions","line 16: shared proxy-state interface provides a traceable route","CONTRIBUTION","The shared proxy-state interface connects deterministic rules, prediction labels, voter inputs, and dataset-specific exposure analyses.","Chapters 1, 5, 6, and 11","01_introduction.tex lines 61 and 79; 05_proxy_state_construction.tex lines 13-17 and 198-222; 06_predictive_modeling.tex, Prediction Export and Normalization; 11_discussion.tex lines 16 and 25-37","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Shared interface does not imply shared generation mechanism or construct validity."
"C12-011","Main Findings and Contributions","line 16: separate causal and split-aware predictive contracts","IMPLEMENTATION","Separate causal and split-aware predictive contracts make identifier, cohort, and export boundaries inspectable.","Chapters 4, 6, and 11","04_data_preprocessing.tex lines 15 and 32-45; 06_predictive_modeling.tex, Prediction Export and Normalization; 11_discussion.tex lines 25-31","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Exact processed-artifact, split, checkpoint, and export lineage remains incomplete."
"C12-012","Main Findings and Contributions","line 16: checked tables and evidence infrastructure improve traceability","CONTRIBUTION","Checked result tables, manifests, checksums, source packets, and tracked issues improve numerical traceability but do not establish clean-checkout reproduction.","Chapters 1, 10, and 11; frozen result packet","01_introduction.tex lines 65 and 83; 10_results.tex, Result Provenance Boundary, lines 343-345; 11_discussion.tex lines 149-154; results_manifest.md lines 1-27","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Traceability is not equated with computational rerun reproducibility."
"C12-013","Main Findings and Contributions","line 18: STraTS, GRU, GRU-D, TCN, and SAnD","PREDICTIVE_FINDING","The checked predictive comparison includes exactly five named model families.","Chapter 10; checked predictive table","10_results.tex, Predictive Performance, lines 26-60 and Table tab:results-predictive-performance; checked_predictive_metrics.csv rows with metric_split=test and selection_status=PRIMARY_MAIN_TEXT","five model families: STraTS, GRU, GRU-D, TCN, SAnD","SUPPORTED","NOT_REQUIRED","CONSISTENT","ALREADY_ESTABLISHED","LOW","RETAIN","No excluded historical model is introduced."
"C12-014","Main Findings and Contributions","line 18: STraTS led in MIMIC-III and GRU-D in PhysioNet","PREDICTIVE_FINDING","STraTS led all four archived test metrics in MIMIC-III, while GRU-D led all four in PhysioNet.","Chapter 10; checked predictive table","10_results.tex lines 29-31 and Table tab:results-predictive-performance; checked_predictive_metrics.csv filters metric_split=test, dataset=mimic_iii/physionet_2012, comparing loss/auroc/auprc/minrp","four archived test metrics per dataset (implicit in 'the archived ... metrics')","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Programmatic validation confirms the leader for loss, AUROC, AUPRC, and minRP in each dataset."
"C12-015","Main Findings and Contributions","line 18: supports a dataset-specific view of representation choice","PREDICTIVE_FINDING","The differing archived leaders support a dataset-specific pattern in the evaluated proxy-label task.","Chapters 10 and 11","10_results.tex lines 29-31; 11_discussion.tex lines 41-44","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Bounded to the archived task; mechanisms were not isolated."
"C12-016","Main Findings and Contributions","line 18: does not establish universal ordering, statistical superiority, or clinical validity","NEGATIVE_BOUNDARY","The predictive comparison does not establish universal superiority, statistical separation, or clinical validity of rule-derived targets.","Chapters 10 and 11","10_results.tex lines 29-31; 11_discussion.tex lines 41-44 and 81-84","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","NOT_APPLICABLE","LOW","RETAIN","Required qualification is explicit."
"C12-017","Main Findings and Contributions","line 20: all nine MIMIC and nine of ten PhysioNet summaries were positive; shock negative","CAUSAL_MODEL_FINDING","Primary original-cohort CausalForestDML mean model-estimated CATE summaries were positive for all MIMIC exposures and all but PhysioNet shock.","Chapter 10; checked CATE table","10_results.tex lines 62-67, 73-91, 103-105, and 111-130; Tables tab:results-forest-mimic and tab:results-forest-physionet; checked_cate_candidates.csv filters estimator=CausalForestDML, sampling_condition=original","all nine MIMIC-III; nine of ten PhysioNet; one negative exception (PhysioNet shock)","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Checked source values yield MIMIC 9/9 positive and PhysioNet 9/10 positive; PhysioNet shock=-0.013849200594340203."
"C12-018","Main Findings and Contributions","line 20: systematic variation after the implemented adjustment procedure","CAUSAL_MODEL_FINDING","The constructed proxy-state analyses show mortality-related variation after the implemented adjustment procedure.","Chapter 11","11_discussion.tex, SRQ-6, lines 52-63","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","The wording remains model-estimated and conditional, not a causal or clinical effect claim."
"C12-019","Main Findings and Contributions","line 20: do not establish that a proxy caused mortality or that modifying it changes outcome","NEGATIVE_BOUNDARY","The adjusted summaries do not establish causation or intervention effects.","Chapters 1 and 11","01_introduction.tex lines 49 and 88-90; 11_discussion.tex lines 52-59 and 81-84","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","NOT_APPLICABLE","LOW","RETAIN","Directly blocks a prohibited causal interpretation."
"C12-020","Main Findings and Contributions","line 20: matching supplied a descriptive empirical-support baseline","ESTIMATOR_COMPARISON","Matching is descriptive empirical-support evidence, with failures and weak-support flags retained rather than treated as confirmation.","Chapters 8, 10, and 11; checked matching tables","08_robustness_sensitivity_validation.tex lines 6-13; 10_results.tex lines 144-189 and Table tab:results-matching-support; 11_discussion.tex lines 59-63; checked_matching_results.csv and checked_matching_failures.csv, sampling_condition=original","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Does not call matching an effect estimator that proves positivity or identification."
"C12-021","Main Findings and Contributions","line 22: same direction in all 19 original-cohort comparisons","ESTIMATOR_COMPARISON","CausalForestDML and LinearDML agree in direction for every original-cohort dataset-exposure comparison.","Chapter 10; checked CATE table","10_results.tex lines 191-230 and Table tab:results-linear-comparison; checked_cate_candidates.csv filters sampling_condition=original and estimators CausalForestDML/LinearDML","all 19 original-cohort dataset-exposure comparisons (19 of 19)","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Programmatic sign comparison confirms 19/19."
"C12-022","Main Findings and Contributions","line 22: magnitudes and within-dataset rankings still differed","ESTIMATOR_COMPARISON","Directional agreement coexists with magnitude and within-dataset ranking differences.","Chapters 10 and 11","10_results.tex line 194 and Table tab:results-linear-comparison; 11_discussion.tex lines 55 and 138","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","MEDIUM","RETAIN","Prevents equivalence inference."
"C12-023","Main Findings and Contributions","line 22: not a guarantee of correctness, equal uncertainty, or valid identification","NEGATIVE_BOUNDARY","Directional concordance does not establish estimator correctness, interchangeable uncertainty, or causal identification.","Chapters 10 and 11; frozen decision register","10_results.tex lines 194 and 237-239; 11_discussion.tex lines 55-63 and 135-140; results_decision_register.md lines 26-30","","SUPPORTED_WITH_QUALIFICATION","PRESENT","CONSISTENT","NOT_APPLICABLE","LOW","RETAIN","Required estimator-agreement boundary is explicit."
"C12-024","Main Findings and Contributions","line 22: all-three agreement in 18 of 19; PhysioNet shock exception","EXPLORATORY_FINDING","CausalPFN agrees in direction with both DML estimators in all but the PhysioNet shock comparison.","Chapter 10; checked CATE table","10_results.tex lines 234-245 and Table tab:results-pfn-comparison; checked_cate_candidates.csv filters sampling_condition=original across all three estimators","18 of 19 comparisons; one exception (PhysioNet shock)","EXPLORATORY_CORRECTLY_BOUNDED","PRESENT","CONSISTENT","ALREADY_ESTABLISHED","HIGH","RETAIN","Programmatic sign comparison confirms 18/19; shock values are Forest -0.013849200594340203, Linear -0.02694439466909599, PFN 0.00412193359964432."
