dataset,proxy_family,chapter_5_location,rule_or_construct_summary,current_citations,support_level,exact_threshold_supported,clinical_definition_complete,allowed_thesis_wording,clinical_review_required,citation_gap,recommended_later_action
PhysioNet 2012,respiratory dysfunction,C5.2 Table 5.1 LAT_RESPIRATORY_FAILURE,oxygenation ventilatory and support proxy,essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping;ranieri_et_al_2012_berlin_ards,GENERAL_PHENOTYPING_SUPPORT,No,No,Project-specific respiratory proxy clinically informed by respiratory phenotyping and oxygenation concepts,Yes,Berlin PDF is missing and local thresholds are not a complete ARDS definition,Obtain approved Berlin PDF and clinical review before any stronger wording
MIMIC-III,respiratory dysfunction,C5.3 Table 5.2 respiratory proxy,oxygenation ventilatory and support proxy,essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping;ranieri_et_al_2012_berlin_ards,GENERAL_PHENOTYPING_SUPPORT,No,No,Project-specific respiratory proxy clinically informed by respiratory phenotyping and oxygenation concepts,Yes,Berlin PDF is missing and local thresholds are not a complete ARDS definition,Obtain approved Berlin PDF and clinical review before any stronger wording
PhysioNet 2012,renal dysfunction,C5.2 Table 5.1 LAT_RENAL_DYSFUNCTION,creatinine urine and chemistry clause family,kdigo_2012_acute_kidney_injury,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific renal proxy draws on acute-kidney-injury concepts,Yes,No evidence supports every threshold timing or urine helper clause,Map variables and timing to KDIGO with clinical review
MIMIC-III,renal dysfunction,C5.3 Table 5.2 renal proxy,creatinine urine and chemistry clause family,kdigo_2012_acute_kidney_injury,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific renal proxy draws on acute-kidney-injury concepts,Yes,No evidence supports every threshold timing or urine helper clause,Map variables and timing to KDIGO with clinical review
PhysioNet 2012,hepatic dysfunction,C5.2 Table 5.1 LAT_HEPATIC_DYSFUNCTION,bilirubin transaminase albumin and platelet clause family,vincent_et_al_1996_sofa,MISSING_PDF_HIGH_LEVEL_ONLY,No,No,Project-specific hepatic proxy draws on organ-dysfunction concepts,Yes,SOFA PDF is missing and transaminase albumin clauses lack exact support,Obtain approved SOFA PDF and exact clinical support then review
MIMIC-III,hepatic dysfunction,C5.3 Table 5.2 hepatic proxy,bilirubin transaminase albumin and platelet clause family,vincent_et_al_1996_sofa,MISSING_PDF_HIGH_LEVEL_ONLY,No,No,Project-specific hepatic proxy draws on organ-dysfunction concepts,Yes,SOFA PDF is missing and transaminase albumin clauses lack exact support,Obtain approved SOFA PDF and exact clinical support then review
PhysioNet 2012,coagulation or hematologic dysfunction,C5.2 Table 5.1 LAT_COAG_HEME_DYSFUNCTION,platelet hematocrit WBC and platelet-drop clause family,taylor_et_al_2001_isth_dic;vincent_et_al_1996_sofa,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific coagulation or hematologic proxy draws on DIC and organ-dysfunction concepts,Yes,Local score omits complete DIC and SOFA requirements,Map local variables to an approved definition and review
MIMIC-III,coagulation or hematologic dysfunction,C5.3 Table 5.2 coagulation proxy,platelet hematocrit WBC and platelet-drop clause family,taylor_et_al_2001_isth_dic;vincent_et_al_1996_sofa,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific coagulation or hematologic proxy draws on DIC and organ-dysfunction concepts,Yes,Local score omits complete DIC and SOFA requirements,Map local variables to an approved definition and review
PhysioNet 2012,shock or hemodynamic instability,C5.2 Table 5.1 LAT_SHOCK,pressure lactate perfusion and chemistry clause family,singer_2016_sepsis3,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific hemodynamic-instability proxy clinically informed by shock and lactate concepts,Yes,No exact support for the combined score and PhysioNet rule omits vasopressor requirement,Review clinical construct and timing requirements
MIMIC-III,shock or hemodynamic instability,C5.3 Table 5.2 shock proxy,pressure lactate perfusion and treatment-related clause family,singer_2016_sepsis3,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific hemodynamic-instability proxy clinically informed by shock and lactate concepts,Yes,No exact support for the combined score or dataset-specific variables,Review clinical construct and timing requirements
PhysioNet 2012,sepsis-related constructs,C5.2 Table 5.1 LAT_INFLAMMATION_SEPSIS_BURDEN,inflammation and sepsis-like burden score,singer_2016_sepsis3,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific inflammation or sepsis-like burden proxy draws on sepsis concepts,Yes,Rule is not formal Sepsis-3 and lacks complete infection and organ-dysfunction implementation,Do not use diagnosis language; clinical review required
MIMIC-III,sepsis-related constructs,C5.3 Table 5.2 inflammation or sepsis proxy,inflammation and sepsis-like burden score,singer_2016_sepsis3,CONCEPTUAL_CLINICAL_GROUNDING,No,No,Project-specific inflammation or sepsis-like burden proxy draws on sepsis concepts,Yes,Rule is not formal Sepsis-3 and lacks complete infection and organ-dysfunction implementation,Do not use diagnosis language; clinical review required
PhysioNet 2012,global severity or organ dysfunction,C5.2 Table 5.1 LAT_GLOBAL_SEVERITY,multi-domain acute physiologic severity score,singer_2016_sepsis3;vincent_et_al_1996_sofa,MISSING_PDF_HIGH_LEVEL_ONLY,No,No,Project-specific global-severity proxy draws on organ-dysfunction concepts and is not complete SOFA,Yes,SOFA PDF missing and local domain count does not implement the complete score,Obtain approved SOFA PDF and conduct construct review
MIMIC-III,global severity or organ dysfunction,C5.3 Table 5.2 global severity proxy,multi-domain acute physiologic severity score,singer_2016_sepsis3;vincent_et_al_1996_sofa,MISSING_PDF_HIGH_LEVEL_ONLY,No,No,Project-specific global-severity proxy draws on organ-dysfunction concepts and is not complete SOFA,Yes,SOFA PDF missing and local domain count does not implement the complete score,Obtain approved SOFA PDF and conduct construct review
PhysioNet 2012,chronic burden or baseline risk,C5.2 Table 5.1 LAT_CHRONIC_BASELINE_RISK,age BMI albumin and ICU-type score,banda_2018_electronic_phenotyping,GENERAL_PHENOTYPING_SUPPORT,No,No,Project-specific baseline-risk proxy,Yes,No approved source for exact BMI albumin ICU-type clauses,Obtain exact clinical support and review
MIMIC-III,chronic burden or baseline risk,C5.3 Table 5.2 baseline-risk proxy,available baseline demographics and chronic-burden clauses,banda_2018_electronic_phenotyping,GENERAL_PHENOTYPING_SUPPORT,No,No,Project-specific baseline-risk proxy,Yes,No approved source for exact local clauses,Obtain exact clinical support and review
PhysioNet 2012,cardiac injury or strain,C5.2 Table 5.1 LAT_CARDIAC_INJURY_STRAIN,troponin vital-sign and ICU-type score,none,NO_APPROVED_SOURCE,No,No,Project-specific cardiac proxy,Yes,No approved clinical source for exact thresholds or complete construct,Obtain approved source and clinician review
MIMIC-III,cardiac injury or strain,C5.3 Table 5.2 cardiac proxy,troponin vital-sign and treatment-related clauses,none,NO_APPROVED_SOURCE,No,No,Project-specific cardiac proxy,Yes,No approved clinical source for exact thresholds or complete construct,Obtain approved source and clinician review
PhysioNet 2012,metabolic electrolyte or acid-base abnormality,C5.2 Table 5.1 LAT_METABOLIC_DERANGEMENT,pH bicarbonate lactate electrolytes glucose and PaCO2 score,none,NO_APPROVED_SOURCE,No,No,Project-specific metabolic proxy,Yes,No approved clinical source for exact thresholds or combined score,Obtain approved source and clinician review
MIMIC-III,metabolic electrolyte or acid-base abnormality,C5.3 Table 5.2 metabolic proxy,pH bicarbonate lactate electrolytes glucose and PaCO2 score,none,NO_APPROVED_SOURCE,No,No,Project-specific metabolic proxy,Yes,No approved clinical source for exact thresholds or combined score,Obtain approved source and clinician review
