figure_id,dataset,estimator,sampling_condition,treatment,source_path,source_sha256,width,height,producing_script,input_source,source_status,selection_status,admission_status,caveat_codes,notes
ARCHIVED-PNG-0001,mimic,CausalForestDML,original,LAT_CARDIAC_STRAIN,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,ac63b26bf7f66ba88ec99ff858e2eedba129919fd5b7f11954348ff660e31687,1365,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0002,mimic,CausalForestDML,original,LAT_GLOBAL_SEVERITY,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_sensitivity_contour.png,b187d391ecb64948d85aee2081f2c7048a922c3352284ef97c987a72429f0007,1365,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0003,mimic,CausalForestDML,original,LAT_HEPATIC_COAG_DYSFUNCTION,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_sensitivity_contour.png,86d321935a0abd0677d9e6346755a4211b8c2dd2f8a48d0c61cf509d4032917c,1366,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0004,mimic,CausalForestDML,original,LAT_METABOLIC_DERANGEMENT,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_sensitivity_contour.png,954ee8f4ca04c1e4e01560154784b7e551ab4b5ed722ab283b2da9cbcd368d25,1365,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0005,mimic,CausalForestDML,original,LAT_NEUROLOGIC_DYSFUNCTION,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_NEUROLOGIC_DYSFUNCTION/LAT_NEUROLOGIC_DYSFUNCTION_sensitivity_contour.png,233962975ac1e810fdd481c6d63c092cc65bd8037faa566a6e031ffa720c30c6,1366,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0006,mimic,CausalForestDML,original,LAT_RENAL_DYSFUNCTION,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_RENAL_DYSFUNCTION/LAT_RENAL_DYSFUNCTION_sensitivity_contour.png,dd574d6289d73746de654e8f88278d028eaa482571d0c0dd00e2ffcb45496dcd,1366,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0007,mimic,CausalForestDML,original,LAT_RESPIRATORY_FAILURE,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_RESPIRATORY_FAILURE/LAT_RESPIRATORY_FAILURE_sensitivity_contour.png,f0bb61ec6b7b0c37ece48be3e3d0470322512193b77e6ebb8f44e957ccf6625a,1365,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0008,mimic,CausalForestDML,original,LAT_SHOCK,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_SHOCK/LAT_SHOCK_sensitivity_contour.png,3a70761b411ae6eb6ec34d8fa4e752cbc2d2d2a8f2bca6b77f49c60d213cfb80,1365,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0009,mimic,CausalForestDML,original,,final-results/causal-outputs/outputs-mimic-forest/graph/mimic_causal_dag.png,79fa7209166d24a9056753ef785865eb87995b2a363c1b3b5a2bff657fe204d8,5258,3940,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
ARCHIVED-PNG-0010,mimic,CausalForestDML,outcome-downsampled,LAT_CARDIAC_STRAIN,final-results/causal-outputs/outputs-mimic-forest-downsample/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,f841d4856db605a9b8fb4bba7613b6b07d2d23c116d63a3d10dc5542f4d6a0c0,1365,978,,archived direct figure,ARCHIVED,PENDING_HUMAN_SELECTION,ADMISSIBLE_WITH_QUALIFICATIONS,FIGURE_INPUT_PROVENANCE_PARTIAL,Existing direct archived figure; not altered.
