table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-pfn-comparison,MIMIC|LAT_CARDIAC_STRAIN,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.259,0.259,YES,
tab:results-pfn-comparison,MIMIC|LAT_CARDIAC_STRAIN,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_CARDIAC_STRAIN,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_INFLAMMATION_SEPSIS,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.149,0.149,YES,
tab:results-pfn-comparison,MIMIC|LAT_INFLAMMATION_SEPSIS,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_INFLAMMATION_SEPSIS,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.097,0.097,YES,
tab:results-pfn-comparison,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_HEPATIC_COAG_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_RENAL_DYSFUNCTION,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.087,0.087,YES,
tab:results-pfn-comparison,MIMIC|LAT_RENAL_DYSFUNCTION,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
tab:results-pfn-comparison,MIMIC|LAT_RENAL_DYSFUNCTION,all_three_agree,checked_cate_candidates.csv:signs,Yes,Yes,YES,
tab:results-pfn-comparison,MIMIC|LAT_GLOBAL_SEVERITY,causalpfn,checked_cate_candidates.csv:original CausalPFN,0.073,0.073,YES,
tab:results-pfn-comparison,MIMIC|LAT_GLOBAL_SEVERITY,forest_linear_signs,checked_cate_candidates.csv:signs,"+,+","+,+",YES,
