reference_id,source_file,reference_command,target_label,target_type,target_exists,display_context_correct,capitalization_correct,spacing_correct,repair_required,notes
REF-001,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:problem-definition-study-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-002,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:data-preprocessing,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-003,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,tab:background-datasets,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-004,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:predictive-modeling-proxy-states,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-005,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,tab:background-model-families,table,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-006,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:predictive-modeling-proxy-states,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-007,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-008,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:causal-graph-effect-estimation-methodology,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-009,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:problem-definition-study-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-010,thesis-writing/thesis/chapters/02_background_related_work.tex,\ref,chap:experimental-design,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-011,thesis-writing/thesis/chapters/03_problem_definition_study_design.tex,\ref,chap:introduction,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
REF-012,thesis-writing/thesis/chapters/03_problem_definition_study_design.tex,\ref,chap:results,chapter,YES,YES,YES,YES,NO,Resolved in clean baseline/final LaTeX builds.
